=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3103..............
Ep:1201 step:420(893318), a_t=[s=-0.19, t= 0.960831, b= 0.000000], r_t=[r= 46.42, prog= 370.61, pen=-77.12, r_old= 46.42], Reward=  47062.29 /  47062.29 /  259455.47, epsilon=  0.100, speed=  123.69, gear= 4, damage= 0.00
Ep:1201 step:440(893338), a_t=[s=-0.09, t= 0.947085, b= 0.000000], r_t=[r= 106.44, prog= 422.06, pen=-34.25, r_old= 106.44], Reward=  48885.23 /  48885.23 /  259455.47, epsilon=  0.100, speed=  140.71, gear= 4, damage= 0.00
Ep:1201 step:460(893358), a_t=[s=-0.26, t= 0.939774, b= 0.000000], r_t=[r= 127.48, prog= 431.18, pen=-16.24, r_old= 127.48], Reward=  51122.26 /  51122.26 /  259455.47, epsilon=  0.100, speed=  144.14, gear= 5, damage= 0.00
Ep:1201 step:480(893378), a_t=[s=-0.15, t= 0.947355, b= 0.000000], r_t=[r= 124.83, prog= 501.19, pen=-42.23, r_old= 124.83], Reward=  53646.54 /  53646.54 /  259455.47, epsilon=  0.100, speed=  167.48, gear= 5, damage= 0.00
Ep:1201 step:500(893398), a_t=[s=-0.05, t= 0.506517, b= 0.000000], r_t=[r= 104.73, prog= 490.28, pen=-58.70, r_old= 104.73], Reward=  56025.17 /  56025.17 /  259455.47, epsilon=  0.100, speed=  163.43, gear= 5, damage= 0.00
Ep:1201 step:520(893418), a_t=[s= 0.65, t= 0.939783, b= 0.000000], r_t=[r= 47.68, prog= 421.96, pen=-92.97, r_old= 47.68], Reward=  58192.25 /  58192.25 /  259455.47, epsilon=  0.100, speed=  141.32, gear= 5, damage= 0.00
Ep:1201 step:540(893438), a_t=[s=-0.28, t= 0.937873, b= 0.000000], r_t=[r= 158.35, prog= 502.51, pen=-9.15, r_old= 158.35], Reward=  60790.24 /  60790.24 /  259455.47, epsilon=  0.100, speed=  167.56, gear= 5, damage= 0.00
Ep:1201 step:560(893458), a_t=[s=-0.59, t= 0.924623, b= 0.000000], r_t=[r= 83.79, prog= 453.33, pen=-67.32, r_old= 83.79], Reward=  63085.53 /  63085.53 /  259455.47, epsilon=  0.100, speed=  156.71, gear= 5, damage= 0.00
Ep:1201 step:580(893478), a_t=[s= 0.17, t= 0.948274, b= 0.000000], r_t=[r= 146.53, prog= 506.09, pen=-22.16, r_old= 146.53], Reward=  65785.96 /  65785.96 /  259455.47, epsilon=  0.100, speed=  168.70, gear= 5, damage= 0.00
Ep:1201 step:600(893498), a_t=[s= 0.00, t= 0.559031, b= 0.000000], r_t=[r= 150.18, prog= 474.57, pen=-8.01, r_old= 150.18], Reward=  68631.80 /  68631.80 /  259455.47, epsilon=  0.100, speed=  158.20, gear= 5, damage= 0.00
Ep:1201 step:620(893518), a_t=[s= 0.34, t= 0.967769, b= 0.000000], r_t=[r= 122.75, prog= 467.57, pen=-33.10, r_old= 122.75], Reward=  71265.56 /  71265.56 /  259455.47, epsilon=  0.100, speed=  156.37, gear= 5, damage= 0.00
Ep:1201 step:640(893538), a_t=[s= 0.36, t= 0.950380, b= 0.000000], r_t=[r= 105.03, prog= 415.74, pen=-33.55, r_old= 105.03], Reward=  73202.18 /  73202.18 /  259455.47, epsilon=  0.100, speed=  140.88, gear= 5, damage= 0.00
Ep:1201 step:660(893558), a_t=[s= 0.24, t= 0.954267, b= 0.000000], r_t=[r= 44.48, prog= 340.88, pen=-69.14, r_old= 44.48], Reward=  74744.84 /  74744.84 /  259455.47, epsilon=  0.100, speed=  114.17, gear= 4, damage= 0.00
Ep:1201 step:680(893578), a_t=[s=-0.05, t= 0.948445, b= 0.000000], r_t=[r= 118.73, prog= 438.37, pen=-27.40, r_old= 118.73], Reward=  76925.23 /  76925.23 /  259455.47, epsilon=  0.100, speed=  146.25, gear= 5, damage= 0.00
