=============================================================
 starting episode: 300/2000
### TORCS is RELAUNCHED ###
Client connected on 3107..............
Ep:301 step:140(108033), a_t=[s= 0.36, t= 0.687794, b= 0.000000], r_t=[r= 240.97, prog= 262.82, pen=-21.85, r_old= 240.97], Reward=  21851.74 /  21589.21 /  298639.53, epsilon=  0.655, speed=  87.76, gear= 3, damage= 257.00
Ep:301 step:160(108053), a_t=[s= 0.55, t= 0.406415, b= 0.011488], r_t=[r= 113.29, prog= 265.67, pen=-152.38, r_old= 113.29], Reward=  25062.29 /  24799.76 /  298639.53, epsilon=  0.655, speed=  88.99, gear= 3, damage= 257.00
Ep:301 step:180(108073), a_t=[s=-0.79, t= 0.617547, b= 0.000000], r_t=[r= 239.68, prog= 295.49, pen=-55.81, r_old= 239.68], Reward=  29010.68 /  28748.15 /  298639.53, epsilon=  0.655, speed=  98.64, gear= 3, damage= 257.00
Ep:301 step:200(108093), a_t=[s=-0.12, t= 0.387481, b= 0.000000], r_t=[r= 121.06, prog= 290.60, pen=-169.54, r_old= 121.06], Reward=  33236.04 /  32868.62 /  298639.53, epsilon=  0.655, speed=  97.37, gear= 3, damage= 324.00
Ep:301 step:220(108113), a_t=[s= 0.80, t= 0.368934, b= 0.000000], r_t=[r= 134.32, prog= 268.94, pen=-134.62, r_old= 134.32], Reward=  35712.90 /  35345.49 /  298639.53, epsilon=  0.655, speed=  89.67, gear= 3, damage= 324.00
Ep:301 step:240(108133), a_t=[s=-0.11, t= 0.659726, b= 0.000000], r_t=[r= 242.05, prog= 270.90, pen=-28.85, r_old= 242.05], Reward=  38925.41 /  38470.83 /  298639.53, epsilon=  0.655, speed=  90.32, gear= 3, damage= 325.00
Ep:301 step:260(108153), a_t=[s=-0.32, t= 0.434305, b= 0.000000], r_t=[r= 232.80, prog= 284.43, pen=-51.63, r_old= 232.80], Reward=  43137.43 /  42682.86 /  298639.53, epsilon=  0.654, speed=  95.34, gear= 3, damage= 325.00
Ep:301 step:280(108173), a_t=[s= 0.84, t= 0.296921, b= 0.000000], r_t=[r= 69.22, prog= 241.69, pen=-172.47, r_old= 69.22], Reward=  45898.79 /  45444.22 /  298639.53, epsilon=  0.654, speed=  80.89, gear= 3, damage= 325.00
Ep:301 step:300(108193), a_t=[s=-0.52, t= 0.636816, b= 0.000000], r_t=[r= 154.94, prog= 229.97, pen=-75.03, r_old= 154.94], Reward=  47546.24 /  47091.67 /  298639.53, epsilon=  0.654, speed=  78.99, gear= 2, damage= 325.00
Ep:301 step:320(108213), a_t=[s= 1.00, t= 0.311930, b= 0.000000], r_t=[r= 103.42, prog= 216.11, pen=-112.69, r_old= 103.42], Reward=  49836.34 /  49232.40 /  298639.53, epsilon=  0.654, speed=  73.01, gear= 2, damage= 447.00
Ep:301 step:340(108233), a_t=[s= 0.40, t= 0.576492, b= 0.000000], r_t=[r= 195.31, prog= 224.04, pen=-28.73, r_old= 195.31], Reward=  52855.49 /  52251.56 /  298639.53, epsilon=  0.654, speed=  77.82, gear= 2, damage= 447.00
Ep:301 step:360(108253), a_t=[s=-0.48, t= 0.562288, b= 0.000000], r_t=[r= 164.50, prog= 229.74, pen=-65.24, r_old= 164.50], Reward=  56817.65 /  56213.72 /  298639.53, epsilon=  0.654, speed=  78.33, gear= 2, damage= 447.00
Ep:301 step:380(108273), a_t=[s= 0.23, t= 0.736166, b= 0.000000], r_t=[r= 220.03, prog= 267.01, pen=-46.99, r_old= 220.03], Reward=  59823.79 /  59219.86 /  298639.53, epsilon=  0.654, speed=  93.91, gear= 3, damage= 447.00
Ep:301 step:400(108293), a_t=[s= 0.11, t= 0.427197, b= 0.000000], r_t=[r= 97.84, prog= 202.48, pen=-104.64, r_old= 97.84], Reward=  61416.16 /  60789.40 /  298639.53, epsilon=  0.654, speed=  70.55, gear= 2, damage= 652.00
Ep:301 step:420(108313), a_t=[s=-0.27, t= 0.642513, b= 0.000000], r_t=[r= 238.27, prog= 266.33, pen=-28.05, r_old= 238.27], Reward=  65083.29 /  64456.54 /  298639.53, epsilon=  0.654, speed=  89.23, gear= 3, damage= 652.00
Ep:301 step:440(108333), a_t=[s=-0.67, t= 0.616961, b= 0.000000], r_t=[r= 232.60, prog= 315.21, pen=-82.61, r_old= 232.60], Reward=  69410.61 /  68783.85 /  298639.53, epsilon=  0.654, speed=  105.09, gear= 3, damage= 652.00
Ep:301 step:460(108353), a_t=[s= 0.40, t= 0.264635, b= 0.000000], r_t=[r= 84.95, prog= 270.24, pen=-185.29, r_old= 84.95], Reward=  71881.71 /  71254.95 /  298639.53, epsilon=  0.654, speed=  92.38, gear= 3, damage= 652.00
Ep:301 step:480(108373), a_t=[s= 0.51, t= 0.780776, b= 0.000000], r_t=[r= 170.98, prog= 256.67, pen=-85.69, r_old= 170.98], Reward=  74696.30 /  74069.55 /  298639.53, epsilon=  0.654, speed=  88.95, gear= 3, damage= 652.00
Ep:301 step:500(108393), a_t=[s=-0.35, t= 0.720331, b= 0.000000], r_t=[r= 262.37, prog= 322.21, pen=-59.84, r_old= 262.37], Reward=  80148.85 /  79522.09 /  298639.53, epsilon=  0.654, speed=  107.61, gear= 3, damage= 652.00
Ep:301 step:520(108413), a_t=[s=-0.32, t= 0.664711, b= 0.000000], r_t=[r= 236.47, prog= 326.97, pen=-90.50, r_old= 236.47], Reward=  85609.60 /  84982.85 /  298639.53, epsilon=  0.654, speed=  109.06, gear= 3, damage= 652.00
Ep:301 step:540(108433), a_t=[s= 0.64, t= 0.372413, b= 0.000000], r_t=[r= 139.27, prog= 288.06, pen=-148.79, r_old= 139.27], Reward=  89120.25 /  88493.49 /  298639.53, epsilon=  0.654, speed=  96.46, gear= 3, damage= 652.00
Ep:301 step:560(108453), a_t=[s= 1.00, t= 0.241443, b= 0.000000], r_t=[r= 0.06, prog= 1.15, pen=-1.09, r_old= 0.06], Reward=  88959.31 /  88344.12 /  298639.53, epsilon=  0.653, speed=  0.51, gear= 1, damage= 670.00
Ep:301 step:580(108473), a_t=[s= 0.19, t= 0.405066, b= 0.000000], r_t=[r= 0.10, prog= 1.05, pen=-0.95, r_old= 0.10], Reward=  88960.07 /  88344.88 /  298639.53, epsilon=  0.653, speed=  0.45, gear= 1, damage= 670.00
