=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:1 step:580(659), a_t=[s= 0.36, t= 0.514777, b= 0.000000], r_t=[r= 0.07, prog= 0.69, pen=-0.62, r_old= 0.07], Reward=  4448.49 /  4367.54 /  4887.92, epsilon=  0.998, speed=  0.29, gear= 1, damage= 456.00
Ep:1 step:600(679), a_t=[s= 0.20, t= 0.610520, b= 0.000000], r_t=[r= 0.20, prog= 1.39, pen=-1.19, r_old= 0.20], Reward=  4451.13 /  4370.18 /  4887.92, epsilon=  0.998, speed=  0.57, gear= 1, damage= 456.00
Ep:1 step:620(699), a_t=[s=-0.40, t= 0.585753, b= 0.000000], r_t=[r= 0.16, prog= 0.87, pen=-0.70, r_old= 0.16], Reward=  4455.73 /  4374.77 /  4887.92, epsilon=  0.998, speed=  0.34, gear= 1, damage= 456.00
Ep:1 step:640(719), a_t=[s=-0.24, t= 0.546723, b= 0.000000], r_t=[r= 0.22, prog= 1.05, pen=-0.83, r_old= 0.22], Reward=  4460.74 /  4379.79 /  4887.92, epsilon=  0.998, speed=  0.41, gear= 1, damage= 456.00
Ep:1 step:660(739), a_t=[s= 0.66, t= 0.523536, b= 0.000000], r_t=[r= 0.33, prog= 1.33, pen=-1.00, r_old= 0.33], Reward=  4470.17 /  4389.22 /  4887.92, epsilon=  0.998, speed=  0.50, gear= 1, damage= 456.00
Ep:1 step:680(759), a_t=[s=-0.38, t= 0.474947, b= 0.000000], r_t=[r= 1.65, prog= 5.84, pen=-4.19, r_old= 1.65], Reward=  4483.69 /  4402.73 /  4887.92, epsilon=  0.997, speed=  2.13, gear= 1, damage= 456.00
Ep:1 step:700(779), a_t=[s= 0.54, t= 0.523031, b= 0.000000], r_t=[r= 1.35, prog= 4.40, pen=-3.05, r_old= 1.35], Reward=  4500.88 /  4419.92 /  4887.92, epsilon=  0.997, speed=  1.58, gear= 1, damage= 456.00
Ep:1 step:720(799), a_t=[s= 0.72, t= 0.579452, b= 0.000000], r_t=[r= 2.04, prog= 5.90, pen=-3.86, r_old= 2.04], Reward=  4535.13 /  4454.17 /  4887.92, epsilon=  0.997, speed=  2.06, gear= 1, damage= 456.00
Ep:1 step:740(819), a_t=[s=-0.33, t= 0.548772, b= 0.000000], r_t=[r= 3.15, prog= 8.47, pen=-5.32, r_old= 3.15], Reward=  4584.46 /  4503.50 /  4887.92, epsilon=  0.997, speed=  2.90, gear= 1, damage= 456.00
Ep:1 step:760(839), a_t=[s=-0.39, t= 0.499709, b= 0.000000], r_t=[r= 14.33, prog= 36.89, pen=-22.55, r_old= 14.33], Reward=  4713.97 /  4620.87 /  4887.92, epsilon=  0.997, speed=  12.51, gear= 1, damage= 492.00
Ep:1 step:780(859), a_t=[s= 0.17, t= 0.673993, b= 0.000000], r_t=[r= 0.29, prog= 1.11, pen=-0.82, r_old= 0.29], Reward=  4866.41 /  4773.32 /  4887.92, epsilon=  0.997, speed=  0.41, gear= 1, damage= 492.00
Ep:1 step:800(879), a_t=[s= 0.79, t= 0.466682, b= 0.000000], r_t=[r= 0.66, prog= 2.26, pen=-1.61, r_old= 0.66], Reward=  4881.28 /  4788.19 /  4887.92, epsilon=  0.997, speed=  0.82, gear= 1, damage= 492.00
Ep:1 step:820(899), a_t=[s=-0.44, t= 0.336340, b= 0.000000], r_t=[r= 1.28, prog= 3.95, pen=-2.66, r_old= 1.28], Reward=  4905.34 /  4812.25 /  4887.92, epsilon=  0.997, speed=  1.39, gear= 1, damage= 492.00
Ep:1 step:840(919), a_t=[s=-0.27, t= 0.587327, b= 0.000000], r_t=[r= 5.74, prog= 15.28, pen=-9.54, r_old= 5.74], Reward=  4959.14 /  4866.05 /  4887.92, epsilon=  0.997, speed=  5.22, gear= 1, damage= 492.00
Ep:1 step:860(939), a_t=[s= 0.31, t= 0.461572, b= 0.000000], r_t=[r= 2.31, prog= 6.01, pen=-3.70, r_old= 2.31], Reward=  5028.54 /  4935.45 /  4887.92, epsilon=  0.997, speed=  2.05, gear= 1, damage= 492.00
Ep:1 step:880(959), a_t=[s= 0.01, t= 0.572637, b= 0.000000], r_t=[r= 5.59, prog= 14.33, pen=-8.73, r_old= 5.59], Reward=  5082.73 /  4989.64 /  4887.92, epsilon=  0.997, speed=  4.86, gear= 1, damage= 492.00
Ep:1 step:900(979), a_t=[s= 1.00, t= 0.613855, b= 0.000000], r_t=[r= 2.33, prog= 6.08, pen=-3.75, r_old= 2.33], Reward=  5128.00 /  5029.71 /  4887.92, epsilon=  0.997, speed=  2.07, gear= 1, damage= 538.00
Ep:1 step:920(999), a_t=[s= 0.01, t= 0.330029, b= 0.000000], r_t=[r= 1.53, prog= 4.23, pen=-2.70, r_old= 1.53], Reward=  5114.32 /  5006.14 /  4887.92, epsilon=  0.997, speed=  1.46, gear= 1, damage= 618.00
Ep:1 step:940(1019), a_t=[s= 0.13, t= 0.466305, b= 0.000000], r_t=[r= 15.32, prog= 36.63, pen=-21.31, r_old= 15.32], Reward=  5271.38 /  5163.20 /  4887.92, epsilon=  0.997, speed=  12.28, gear= 1, damage= 618.00
Ep:1 step:960(1039), a_t=[s= 1.00, t= 0.581629, b= 0.000000], r_t=[r= 0.75, prog= 2.74, pen=-1.99, r_old= 0.75], Reward=  5344.35 /  5221.08 /  4887.92, epsilon=  0.997, speed=  1.01, gear= 1, damage= 728.00
Ep:1 step:980(1059), a_t=[s=-0.32, t= 0.354003, b= 0.000000], r_t=[r= 1.05, prog= 3.42, pen=-2.37, r_old= 1.05], Reward=  5363.52 /  5240.24 /  4887.92, epsilon=  0.996, speed=  1.22, gear= 1, damage= 728.00
Ep:1 step:1000(1079), a_t=[s= 0.72, t= 0.451689, b= 0.000000], r_t=[r= 2.66, prog= 7.85, pen=-5.20, r_old= 2.66], Reward=  5390.29 /  5267.01 /  4887.92, epsilon=  0.996, speed=  2.75, gear= 1, damage= 728.00
Ep:1 step:1020(1099), a_t=[s=-0.56, t= 0.516090, b= 0.042647], r_t=[r= 3.36, prog= 9.10, pen=-5.74, r_old= 3.36], Reward=  5434.69 /  5311.42 /  4887.92, epsilon=  0.996, speed=  3.12, gear= 1, damage= 728.00
Ep:1 step:1040(1119), a_t=[s= 1.00, t= 0.493468, b= 0.000000], r_t=[r= 4.71, prog= 12.41, pen=-7.70, r_old= 4.71], Reward=  5520.72 /  5397.44 /  4887.92, epsilon=  0.996, speed=  4.23, gear= 1, damage= 728.00
Ep:1 step:1060(1139), a_t=[s= 0.90, t= 0.479248, b= 0.000000], r_t=[r= 6.53, prog= 17.33, pen=-10.79, r_old= 6.53], Reward=  5606.69 /  5477.30 /  4887.92, epsilon=  0.996, speed=  5.92, gear= 1, damage= 746.00
Ep:1 step:1080(1159), a_t=[s=-1.00, t= 0.475753, b= 0.048554], r_t=[r= 2.91, prog= 7.57, pen=-4.66, r_old= 2.91], Reward=  5674.21 /  5544.81 /  4887.92, epsilon=  0.996, speed=  2.57, gear= 1, damage= 746.00
Ep:1 step:1100(1179), a_t=[s= 0.79, t= 0.619082, b= 0.046664], r_t=[r= 2.30, prog= 6.07, pen=-3.77, r_old= 2.30], Reward=  5744.33 /  5614.93 /  4887.92, epsilon=  0.996, speed=  2.07, gear= 1, damage= 746.00
Ep:1 step:1120(1199), a_t=[s= 1.00, t= 0.355035, b= 0.000000], r_t=[r= 11.31, prog= 29.35, pen=-18.04, r_old= 11.31], Reward=  5912.61 /  5783.21 /  4887.92, epsilon=  0.996, speed=  9.97, gear= 1, damage= 746.00
Ep:1 step:1140(1219), a_t=[s= 1.00, t= 0.437841, b= 0.000000], r_t=[r= 3.23, prog= 8.90, pen=-5.67, r_old= 3.23], Reward=  5986.88 /  5840.62 /  4887.92, epsilon=  0.996, speed=  3.07, gear= 1, damage= 783.00
Ep:1 step:1160(1239), a_t=[s=-0.06, t= 0.359040, b= 0.000000], r_t=[r= 4.00, prog= 10.46, pen=-6.46, r_old= 4.00], Reward=  6046.03 /  5899.77 /  4887.92, epsilon=  0.996, speed=  3.56, gear= 1, damage= 783.00
Ep:1 step:1180(1259), a_t=[s= 0.79, t= 0.475020, b= 0.000000], r_t=[r= 3.64, prog= 9.50, pen=-5.86, r_old= 3.64], Reward=  6115.50 /  5969.24 /  4887.92, epsilon=  0.996, speed=  3.23, gear= 1, damage= 783.00
