=============================================================
 starting episode: 0/2000
Client connected on 3101..............
Ep:2 step:120(580), a_t=[s=-0.59, t= 0.520833, b= 0.000000], r_t=[r=-0.12, prog= 0.03, pen=-0.14, r_old=-0.12], Reward= -211.80 / -211.80 / -2262.38, epsilon=  0.998, speed=  0.05, gear= 1, damage= 893.00
Ep:2 step:140(600), a_t=[s=-0.81, t= 0.419056, b= 0.000000], r_t=[r=-0.49, prog= 0.14, pen=-0.54, r_old=-0.49], Reward= -215.76 / -215.76 / -2262.38, epsilon=  0.998, speed=  0.18, gear= 1, damage= 893.00
Ep:2 step:160(620), a_t=[s=-1.00, t= 0.496800, b= 0.000000], r_t=[r=-0.09, prog= 0.03, pen=-0.10, r_old=-0.09], Reward= -218.65 / -218.65 / -2262.38, epsilon=  0.998, speed=  0.03, gear= 1, damage= 893.00
Ep:2 step:180(640), a_t=[s=-0.68, t= 0.468493, b= 0.000000], r_t=[r=-0.02, prog= 0.00, pen=-0.02, r_old=-0.02], Reward= -222.27 / -222.27 / -2262.38, epsilon=  0.998, speed=  0.01, gear= 1, damage= 893.00
Ep:2 step:200(660), a_t=[s=-0.15, t= 0.266169, b= 0.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.01, r_old= 0.00], Reward= -224.86 / -224.86 / -2262.38, epsilon=  0.998, speed= -0.01, gear= 1, damage= 893.00
Ep:2 step:220(680), a_t=[s=-1.00, t= 0.374618, b= 0.000000], r_t=[r=-0.27, prog= 0.09, pen=-0.30, r_old=-0.27], Reward= -226.86 / -226.86 / -2262.38, epsilon=  0.998, speed=  0.10, gear= 1, damage= 893.00
Ep:2 step:240(700), a_t=[s=-1.00, t= 0.348586, b= 0.000000], r_t=[r=-0.55, prog= 0.20, pen=-0.62, r_old=-0.55], Reward= -231.39 / -231.39 / -2262.38, epsilon=  0.998, speed=  0.21, gear= 1, damage= 893.00
Ep:2 step:260(720), a_t=[s=-0.55, t= 0.430822, b= 0.000000], r_t=[r=-0.09, prog= 0.03, pen=-0.10, r_old=-0.09], Reward= -235.03 / -235.03 / -2262.38, epsilon=  0.998, speed=  0.03, gear= 1, damage= 893.00
Ep:2 step:280(740), a_t=[s=-0.43, t= 0.522082, b= 0.000000], r_t=[r=-0.09, prog= 0.04, pen=-0.11, r_old=-0.09], Reward= -240.57 / -240.57 / -2262.38, epsilon=  0.998, speed=  0.04, gear= 1, damage= 893.00
Ep:2 step:300(760), a_t=[s=-0.24, t= 0.330436, b= 0.000000], r_t=[r= 0.01, prog=-0.02, pen= 0.02, r_old= 0.01], Reward= -244.22 / -244.22 / -2262.38, epsilon=  0.997, speed= -0.02, gear= 1, damage= 893.00
Ep:2 step:320(780), a_t=[s=-1.00, t= 0.644761, b= 0.000000], r_t=[r=-0.02, prog= 0.01, pen=-0.02, r_old=-0.02], Reward= -248.24 / -248.24 / -2262.38, epsilon=  0.997, speed=  0.01, gear= 1, damage= 893.00
Ep:2 step:340(800), a_t=[s=-0.12, t= 0.583054, b= 0.000000], r_t=[r= 0.09, prog=-0.16, pen= 0.14, r_old= 0.09], Reward= -250.22 / -250.22 / -2262.38, epsilon=  0.997, speed= -0.14, gear= 1, damage= 893.00
Ep:2 step:360(820), a_t=[s=-0.09, t= 0.388723, b= 0.000000], r_t=[r=-0.21, prog= 0.11, pen=-0.24, r_old=-0.21], Reward= -254.44 / -254.44 / -2262.38, epsilon=  0.997, speed=  0.08, gear= 1, damage= 893.00
Ep:2 step:380(840), a_t=[s=-0.71, t= 0.474115, b= 0.000000], r_t=[r=-0.33, prog= 0.19, pen=-0.39, r_old=-0.33], Reward= -258.55 / -258.55 / -2262.38, epsilon=  0.997, speed=  0.14, gear= 1, damage= 893.00
Ep:2 step:400(860), a_t=[s=-0.41, t= 0.384155, b= 0.000000], r_t=[r=-0.67, prog= 0.46, pen=-0.83, r_old=-0.67], Reward= -265.37 / -265.37 / -2262.38, epsilon=  0.997, speed=  0.29, gear= 1, damage= 893.00
Ep:2 step:420(880), a_t=[s= 0.25, t= 0.425702, b= 0.000000], r_t=[r=-0.47, prog= 0.35, pen=-0.58, r_old=-0.47], Reward= -271.04 / -271.04 / -2262.38, epsilon=  0.997, speed=  0.21, gear= 1, damage= 893.00
Ep:2 step:440(900), a_t=[s= 0.36, t= 0.556468, b= 0.000000], r_t=[r=-0.33, prog= 0.26, pen=-0.42, r_old=-0.33], Reward= -276.59 / -276.59 / -2262.38, epsilon=  0.997, speed=  0.15, gear= 1, damage= 893.00
Ep:2 step:460(920), a_t=[s=-0.27, t= 0.541052, b= 0.000000], r_t=[r=-0.09, prog= 0.08, pen=-0.11, r_old=-0.09], Reward= -285.82 / -285.82 / -2262.38, epsilon=  0.997, speed=  0.04, gear= 1, damage= 893.00
Ep:2 step:480(940), a_t=[s=-0.67, t= 0.401291, b= 0.000000], r_t=[r=-0.38, prog= 0.35, pen=-0.49, r_old=-0.38], Reward= -293.50 / -293.50 / -2262.38, epsilon=  0.997, speed=  0.18, gear= 1, damage= 893.00
Ep:2 step:500(960), a_t=[s=-0.51, t= 0.467946, b= 0.000000], r_t=[r=-0.51, prog= 0.51, pen=-0.68, r_old=-0.51], Reward= -300.82 / -300.82 / -2262.38, epsilon=  0.997, speed=  0.25, gear= 1, damage= 893.00
Ep:2 step:520(980), a_t=[s=-0.05, t= 0.403642, b= 0.000000], r_t=[r=-0.55, prog= 0.59, pen=-0.74, r_old=-0.55], Reward= -311.61 / -311.61 / -2262.38, epsilon=  0.997, speed=  0.28, gear= 1, damage= 893.00
Ep:2 step:540(1000), a_t=[s=-0.70, t= 0.389875, b= 0.000000], r_t=[r=-0.03, prog= 0.04, pen=-0.05, r_old=-0.03], Reward= -321.88 / -321.88 / -2262.38, epsilon=  0.997, speed=  0.02, gear= 1, damage= 893.00
Ep:2 step:560(1020), a_t=[s=-1.00, t= 0.460496, b= 0.000000], r_t=[r=-0.61, prog= 0.76, pen=-0.87, r_old=-0.61], Reward= -334.17 / -334.17 / -2262.38, epsilon=  0.997, speed=  0.33, gear= 1, damage= 893.00
Ep:2 step:580(1040), a_t=[s=-0.72, t= 0.449276, b= 0.000000], r_t=[r=-0.82, prog= 1.08, pen=-1.18, r_old=-0.82], Reward= -349.64 / -349.64 / -2262.38, epsilon=  0.997, speed=  0.45, gear= 1, damage= 893.00
Ep:2 step:600(1060), a_t=[s=-0.87, t= 0.545972, b= 0.000000], r_t=[r=-0.70, prog= 0.98, pen=-1.03, r_old=-0.70], Reward= -362.96 / -362.96 / -2262.38, epsilon=  0.996, speed=  0.40, gear= 1, damage= 893.00
