=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:3 step:0(922), a_t=[s=-1.00, t= 0.280698, b= 0.000000], r_t=[r= 0.01, prog= 0.03, pen=-0.00, r_old= 0.01], Reward=  0.01 /  0.01 / -960.73, epsilon=  0.997, speed=  0.01, gear= 1, damage= 0.00
Ep:3 step:20(942), a_t=[s= 0.20, t= 0.515845, b= 0.000000], r_t=[r=-36.80, prog= 50.16, pen=-53.51, r_old=-36.80], Reward= -42.23 / -42.23 / -960.73, epsilon=  0.997, speed=  28.00, gear= 1, damage= 0.00
Ep:3 step:40(962), a_t=[s=-1.00, t= 0.466120, b= 0.000000], r_t=[r=-0.11, prog= 0.03, pen=-0.12, r_old=-0.11], Reward= -815.06 / -815.06 / -960.73, epsilon=  0.997, speed=  0.04, gear= 1, damage= 503.00
Ep:3 step:60(982), a_t=[s= 0.34, t= 0.626772, b= 0.000000], r_t=[r=-0.24, prog= 0.07, pen=-0.26, r_old=-0.24], Reward= -817.73 / -817.73 / -960.73, epsilon=  0.997, speed=  0.09, gear= 1, damage= 503.00
Ep:3 step:80(1002), a_t=[s=-0.53, t= 0.596444, b= 0.000000], r_t=[r=-0.29, prog= 0.09, pen=-0.32, r_old=-0.29], Reward= -822.25 / -822.25 / -960.73, epsilon=  0.997, speed=  0.11, gear= 1, damage= 503.00
Ep:3 step:100(1022), a_t=[s=-0.31, t= 0.496758, b= 0.000000], r_t=[r=-0.36, prog= 0.12, pen=-0.40, r_old=-0.36], Reward= -824.83 / -824.83 / -960.73, epsilon=  0.997, speed=  0.14, gear= 1, damage= 503.00
Ep:3 step:120(1042), a_t=[s=-1.00, t= 0.464531, b= 0.000000], r_t=[r=-0.62, prog= 0.20, pen=-0.69, r_old=-0.62], Reward= -827.48 / -827.48 / -960.73, epsilon=  0.997, speed=  0.23, gear= 1, damage= 503.00
Ep:3 step:140(1062), a_t=[s=-0.14, t= 0.588612, b= 0.000000], r_t=[r= 0.04, prog=-0.05, pen= 0.06, r_old= 0.04], Reward= -830.37 / -830.37 / -960.73, epsilon=  0.996, speed= -0.05, gear= 1, damage= 503.00
Ep:3 step:160(1082), a_t=[s= 0.07, t= 0.526956, b= 0.000000], r_t=[r=-0.79, prog= 0.29, pen=-0.89, r_old=-0.79], Reward= -833.58 / -833.58 / -960.73, epsilon=  0.996, speed=  0.30, gear= 1, damage= 503.00
Ep:3 step:180(1102), a_t=[s= 0.51, t= 0.486201, b= 0.000000], r_t=[r=-0.31, prog= 0.12, pen=-0.35, r_old=-0.31], Reward= -836.15 / -836.15 / -960.73, epsilon=  0.996, speed=  0.12, gear= 1, damage= 503.00
