=============================================================
 starting episode: 1900/2000
Client connected on 3105..............
Ep:1902 step:240(1263050), a_t=[s= 0.38, t= 0.959624, b= 0.000000], r_t=[r= 482.26, prog= 500.73, pen=-18.47, r_old= 482.26], Reward=  87145.69 /  87145.69 /  834958.44, epsilon=  0.100, speed=  167.68, gear= 6, damage= 0.00
Ep:1902 step:260(1263070), a_t=[s= 0.27, t= 0.938458, b= 0.000000], r_t=[r= 347.99, prog= 482.94, pen=-134.96, r_old= 347.99], Reward=  96323.18 /  96323.18 /  834958.44, epsilon=  0.100, speed=  164.00, gear= 5, damage= 0.00
Ep:1902 step:280(1263090), a_t=[s=-0.15, t= 0.943439, b= 0.000000], r_t=[r= 351.13, prog= 407.67, pen=-56.54, r_old= 351.13], Reward=  103474.49 /  103474.49 /  834958.44, epsilon=  0.100, speed=  136.74, gear= 4, damage= 0.00
Ep:1902 step:300(1263110), a_t=[s= 0.54, t= 0.943165, b= 0.000000], r_t=[r= 381.11, prog= 441.16, pen=-60.06, r_old= 381.11], Reward=  111337.85 /  111337.85 /  834958.44, epsilon=  0.100, speed=  149.17, gear= 5, damage= 0.00
Ep:1902 step:320(1263130), a_t=[s= 0.06, t= 0.948565, b= 0.000000], r_t=[r= 498.33, prog= 507.76, pen=-9.43, r_old= 498.33], Reward=  120200.84 /  120200.84 /  834958.44, epsilon=  0.100, speed=  169.47, gear= 6, damage= 0.00
Ep:1902 step:340(1263150), a_t=[s= 0.25, t= 0.944325, b= 0.000000], r_t=[r= 440.32, prog= 486.38, pen=-46.06, r_old= 440.32], Reward=  129713.21 /  129713.21 /  834958.44, epsilon=  0.100, speed=  163.40, gear= 5, damage= 0.00
Ep:1902 step:360(1263170), a_t=[s=-0.10, t= 0.936684, b= 0.000000], r_t=[r= 483.00, prog= 504.56, pen=-21.56, r_old= 483.00], Reward=  139288.80 /  139288.80 /  834958.44, epsilon=  0.100, speed=  168.26, gear= 5, damage= 0.00
Ep:1902 step:380(1263190), a_t=[s=-0.09, t= 0.644766, b= 0.000000], r_t=[r= 497.87, prog= 523.37, pen=-25.50, r_old= 497.87], Reward=  149283.98 /  149283.98 /  834958.44, epsilon=  0.100, speed=  174.81, gear= 6, damage= 0.00
Ep:1902 step:400(1263210), a_t=[s= 0.05, t= 0.945707, b= 0.000000], r_t=[r= 372.21, prog= 407.64, pen=-35.43, r_old= 372.21], Reward=  156165.65 /  156165.65 /  834958.44, epsilon=  0.100, speed=  135.89, gear= 4, damage= 0.00
Ep:1902 step:420(1263230), a_t=[s= 0.22, t= 0.942390, b= 0.000000], r_t=[r= 333.02, prog= 372.03, pen=-39.00, r_old= 333.02], Reward=  162937.59 /  162937.59 /  834958.44, epsilon=  0.100, speed=  124.01, gear= 4, damage= 0.00
Ep:1902 step:440(1263250), a_t=[s= 0.05, t= 0.953254, b= 0.000000], r_t=[r= 300.56, prog= 414.97, pen=-114.41, r_old= 300.56], Reward=  170499.23 /  170499.23 /  834958.44, epsilon=  0.100, speed=  142.81, gear= 5, damage= 0.00
Ep:1902 step:460(1263270), a_t=[s=-0.11, t= 0.939618, b= 0.000000], r_t=[r= 330.82, prog= 419.68, pen=-88.86, r_old= 330.82], Reward=  177384.13 /  177384.13 /  834958.44, epsilon=  0.100, speed=  141.67, gear= 5, damage= 0.00
Ep:1902 step:480(1263290), a_t=[s= 0.11, t= 0.942884, b= 0.000000], r_t=[r= 390.38, prog= 466.94, pen=-76.56, r_old= 390.38], Reward=  185190.80 /  185190.80 /  834958.44, epsilon=  0.100, speed=  156.41, gear= 5, damage= 0.00
Ep:1902 step:500(1263310), a_t=[s= 0.34, t= 0.043071, b= 0.000000], r_t=[r= 421.65, prog= 492.53, pen=-70.88, r_old= 421.65], Reward=  193875.35 /  193875.35 /  834958.44, epsilon=  0.100, speed=  166.77, gear= 6, damage= 0.00
Ep:1902 step:520(1263330), a_t=[s= 0.16, t= 0.944965, b= 0.000000], r_t=[r= 379.99, prog= 409.56, pen=-29.56, r_old= 379.99], Reward=  201389.51 /  201389.51 /  834958.44, epsilon=  0.100, speed=  136.53, gear= 4, damage= 0.00
Ep:1902 step:540(1263350), a_t=[s=-0.55, t= 0.947161, b= 0.000000], r_t=[r= 345.28, prog= 415.90, pen=-70.62, r_old= 345.28], Reward=  208765.44 /  208765.44 /  834958.44, epsilon=  0.100, speed=  138.63, gear= 4, damage= 0.00
Ep:1902 step:560(1263370), a_t=[s= 0.18, t= 0.938267, b= 0.000000], r_t=[r= 447.79, prog= 466.30, pen=-18.50, r_old= 447.79], Reward=  216121.22 /  216121.22 /  834958.44, epsilon=  0.100, speed=  155.43, gear= 5, damage= 0.00
Ep:1902 step:580(1263390), a_t=[s= 0.16, t= 0.753904, b= 0.000000], r_t=[r= 481.50, prog= 500.10, pen=-18.60, r_old= 481.50], Reward=  225074.12 /  225074.12 /  834958.44, epsilon=  0.100, speed=  167.34, gear= 5, damage= 0.00
Ep:1902 step:600(1263410), a_t=[s=-0.07, t= 0.959811, b= 0.000000], r_t=[r= 441.87, prog= 507.26, pen=-65.39, r_old= 441.87], Reward=  234491.21 /  234491.21 /  834958.44, epsilon=  0.100, speed=  169.23, gear= 6, damage= 0.00
