=============================================================
 starting episode: 200/2000
Client connected on 3105..............
Ep:200 step:840(99657), a_t=[s= 0.24, t= 0.000009, b= 0.000000], r_t=[r= 3.31, prog= 3.60, pen=-0.29, r_old= 3.31], Reward=  878.26 /  878.26 /  294266.38, epsilon=  0.692, speed=  1.22, gear= 1, damage= 0.00
Ep:200 step:860(99677), a_t=[s= 0.14, t= 0.026965, b= 0.000000], r_t=[r=-0.05, prog=-0.05, pen=-0.00, r_old=-0.05], Reward=  891.67 /  891.67 /  294266.38, epsilon=  0.692, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:880(99697), a_t=[s= 0.42, t= 0.023485, b= 0.000000], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward=  909.27 /  909.27 /  294266.38, epsilon=  0.692, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:900(99717), a_t=[s= 0.28, t= 0.001202, b= 0.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward=  910.46 /  910.46 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:920(99737), a_t=[s=-0.59, t= 0.045514, b= 0.000000], r_t=[r= 0.66, prog= 0.72, pen=-0.06, r_old= 0.66], Reward=  941.19 /  941.19 /  294266.38, epsilon=  0.692, speed=  0.24, gear= 1, damage= 0.00
Ep:200 step:940(99757), a_t=[s= 0.29, t= 0.000143, b= 0.000000], r_t=[r= 3.87, prog= 4.19, pen=-0.32, r_old= 3.87], Reward=  985.70 /  985.70 /  294266.38, epsilon=  0.692, speed=  1.42, gear= 1, damage= 0.00
Ep:200 step:960(99777), a_t=[s=-0.30, t= 0.004383, b= 0.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward=  1003.16 /  1003.16 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:980(99797), a_t=[s=-0.45, t= 0.002986, b= 0.000000], r_t=[r=-0.52, prog=-0.50, pen=-0.02, r_old=-0.52], Reward=  1040.00 /  1040.00 /  294266.38, epsilon=  0.692, speed= -0.17, gear= 1, damage= 0.00
Ep:200 step:1000(99817), a_t=[s=-0.05, t= 0.001051, b= 0.000000], r_t=[r= 4.07, prog= 4.38, pen=-0.31, r_old= 4.07], Reward=  1096.50 /  1096.50 /  294266.38, epsilon=  0.692, speed=  1.48, gear= 1, damage= 0.00
Ep:200 step:1020(99837), a_t=[s= 0.31, t= 0.026849, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward=  1115.90 /  1115.90 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:1040(99857), a_t=[s= 0.02, t= 0.000186, b= 0.000000], r_t=[r=-0.14, prog=-0.13, pen=-0.01, r_old=-0.14], Reward=  1115.78 /  1115.78 /  294266.38, epsilon=  0.692, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:1060(99877), a_t=[s= 0.46, t= 0.002052, b= 0.000000], r_t=[r= 4.65, prog= 5.02, pen=-0.37, r_old= 4.65], Reward=  1125.36 /  1125.36 /  294266.38, epsilon=  0.692, speed=  1.70, gear= 1, damage= 0.00
Ep:200 step:1080(99897), a_t=[s= 0.56, t= 0.000652, b= 0.000000], r_t=[r= 1.57, prog= 1.68, pen=-0.11, r_old= 1.57], Reward=  1175.33 /  1175.33 /  294266.38, epsilon=  0.692, speed=  0.57, gear= 1, damage= 0.00
Ep:200 step:1100(99917), a_t=[s=-0.28, t= 0.182489, b= 0.000000], r_t=[r= 2.78, prog= 2.97, pen=-0.18, r_old= 2.78], Reward=  1237.46 /  1237.46 /  294266.38, epsilon=  0.692, speed=  1.00, gear= 1, damage= 0.00
Ep:200 step:1120(99937), a_t=[s= 0.46, t= 0.000019, b= 0.000000], r_t=[r= 0.08, prog= 0.08, pen=-0.00, r_old= 0.08], Reward=  1273.76 /  1273.76 /  294266.38, epsilon=  0.692, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:1140(99957), a_t=[s= 0.27, t= 0.000335, b= 0.000000], r_t=[r=-0.09, prog=-0.08, pen=-0.00, r_old=-0.09], Reward=  1275.39 /  1275.39 /  294266.38, epsilon=  0.692, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:1160(99977), a_t=[s= 0.01, t= 0.001005, b= 0.000000], r_t=[r= 3.57, prog= 3.80, pen=-0.23, r_old= 3.57], Reward=  1318.79 /  1318.79 /  294266.38, epsilon=  0.692, speed=  1.28, gear= 1, damage= 0.00
Ep:200 step:1180(99997), a_t=[s= 0.42, t= 0.000005, b= 0.000000], r_t=[r= 2.73, prog= 2.87, pen=-0.14, r_old= 2.73], Reward=  1384.10 /  1384.10 /  294266.38, epsilon=  0.692, speed=  0.97, gear= 1, damage= 0.00
Ep:200 step:1200(100017), a_t=[s= 0.50, t= 0.000338, b= 0.000000], r_t=[r= 0.04, prog= 0.04, pen=-0.00, r_old= 0.04], Reward=  1401.13 /  1401.13 /  294266.38, epsilon=  0.692, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1220(100037), a_t=[s= 0.12, t= 0.000406, b= 0.000000], r_t=[r= 0.39, prog= 0.41, pen=-0.02, r_old= 0.39], Reward=  1401.03 /  1401.03 /  294266.38, epsilon=  0.692, speed=  0.14, gear= 1, damage= 0.00
