=============================================================
 starting episode: 0/2000
Client connected on 3109..............
Ep:0 step:860(861), a_t=[s=-0.98, t= 0.427672, b= 0.000000], r_t=[r= 0.20, prog= 0.78, pen=-0.58, r_old= 0.20], Reward=  1548.85 /  1554.76 / -inf, epsilon=  0.997, speed=  0.29, gear= 1, damage= 1613.00
Ep:0 step:880(881), a_t=[s=-0.02, t= 0.475712, b= 0.000000], r_t=[r= 0.91, prog= 2.92, pen=-2.02, r_old= 0.91], Reward=  1570.09 /  1575.99 / -inf, epsilon=  0.997, speed=  1.05, gear= 1, damage= 1613.00
Ep:0 step:900(901), a_t=[s=-1.00, t= 0.429027, b= 0.000000], r_t=[r= 1.81, prog= 5.12, pen=-3.31, r_old= 1.81], Reward=  1617.19 /  1623.10 / -inf, epsilon=  0.997, speed=  1.77, gear= 1, damage= 1613.00
Ep:0 step:920(921), a_t=[s=-0.49, t= 0.501728, b= 0.000000], r_t=[r= 2.77, prog= 7.38, pen=-4.61, r_old= 2.77], Reward=  1675.59 /  1681.50 / -inf, epsilon=  0.997, speed=  2.52, gear= 1, damage= 1613.00
Ep:0 step:940(941), a_t=[s=-0.64, t= 0.560067, b= 0.000000], r_t=[r= 6.38, prog= 16.54, pen=-10.16, r_old= 6.38], Reward=  1742.54 /  1736.01 / -inf, epsilon=  0.997, speed=  5.62, gear= 1, damage= 1642.00
Ep:0 step:960(961), a_t=[s=-0.35, t= 0.614608, b= 0.000000], r_t=[r= 0.30, prog= 1.22, pen=-0.92, r_old= 0.30], Reward=  1740.49 /  1708.24 / -inf, epsilon=  0.997, speed=  0.46, gear= 1, damage= 1777.00
Ep:0 step:980(981), a_t=[s= 0.78, t= 0.493225, b= 0.000000], r_t=[r= 0.71, prog= 2.58, pen=-1.86, r_old= 0.71], Reward=  1753.55 /  1721.30 / -inf, epsilon=  0.997, speed=  0.95, gear= 1, damage= 1777.00
Ep:0 step:1000(1001), a_t=[s=-0.18, t= 0.446486, b= 0.000000], r_t=[r= 1.00, prog= 3.31, pen=-2.31, r_old= 1.00], Reward=  1769.25 /  1737.00 / -inf, epsilon=  0.997, speed=  1.19, gear= 1, damage= 1777.00
Ep:0 step:1020(1021), a_t=[s= 0.79, t= 0.527211, b= 0.000000], r_t=[r= 2.17, prog= 6.58, pen=-4.41, r_old= 2.17], Reward=  1793.15 /  1760.90 / -inf, epsilon=  0.997, speed=  2.32, gear= 1, damage= 1777.00
Ep:0 step:1040(1041), a_t=[s= 1.00, t= 0.630910, b= 0.000000], r_t=[r= 2.41, prog= 6.72, pen=-4.31, r_old= 2.41], Reward=  1829.11 /  1796.86 / -inf, epsilon=  0.997, speed=  2.32, gear= 1, damage= 1777.00
Ep:0 step:1060(1061), a_t=[s=-0.00, t= 0.595947, b= 0.000000], r_t=[r= 6.56, prog= 16.85, pen=-10.29, r_old= 6.56], Reward=  1912.56 /  1880.32 / -inf, epsilon=  0.996, speed=  5.71, gear= 1, damage= 1777.00
Ep:0 step:1080(1081), a_t=[s=-0.32, t= 0.482211, b= 0.000000], r_t=[r= 2.61, prog= 8.05, pen=-5.44, r_old= 2.61], Reward=  1892.75 /  1839.18 / -inf, epsilon=  0.996, speed=  2.85, gear= 1, damage= 1900.00
Ep:0 step:1100(1101), a_t=[s=-0.14, t= 0.405816, b= 0.000000], r_t=[r= 13.66, prog= 32.10, pen=-18.44, r_old= 13.66], Reward=  2010.07 /  1956.50 / -inf, epsilon=  0.996, speed=  10.74, gear= 1, damage= 1900.00
Ep:0 step:1120(1121), a_t=[s=-0.01, t= 0.404696, b= 0.000000], r_t=[r=-0.15, prog= 0.29, pen=-0.45, r_old=-0.15], Reward=  2150.62 /  2083.61 / -inf, epsilon=  0.996, speed=  0.19, gear= 1, damage= 1922.00
Ep:0 step:1140(1141), a_t=[s= 0.10, t= 0.478103, b= 0.000000], r_t=[r=-0.11, prog= 0.25, pen=-0.36, r_old=-0.11], Reward=  2148.42 /  2081.41 / -inf, epsilon=  0.996, speed=  0.16, gear= 1, damage= 1922.00
Ep:0 step:1160(1161), a_t=[s= 0.56, t= 0.656795, b= 0.000000], r_t=[r=-0.04, prog= 0.15, pen=-0.19, r_old=-0.04], Reward=  2146.49 /  2079.48 / -inf, epsilon=  0.996, speed=  0.08, gear= 1, damage= 1922.00
