=============================================================
 starting episode: 1700/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1700 step:640(1704064), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.07, prog= 0.05, pen=-0.09, r_old=-0.07], Reward=  45962.45 /  45962.45 /  260769.07, epsilon=  0.100, speed=  0.04, gear= 1, damage= 37.00
Ep:1700 step:660(1704084), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.04, pen= 0.02, r_old= 0.00], Reward=  45961.87 /  45961.87 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:680(1704104), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45961.38 /  45961.38 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:700(1704124), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.05, pen= 0.02, r_old= 0.01], Reward=  45961.16 /  45961.16 /  260769.07, epsilon=  0.100, speed= -0.04, gear= 1, damage= 37.00
Ep:1700 step:720(1704144), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.05, prog= 0.03, pen=-0.06, r_old=-0.05], Reward=  45960.77 /  45960.77 /  260769.07, epsilon=  0.100, speed=  0.03, gear= 1, damage= 37.00
Ep:1700 step:740(1704164), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.03, r_old= 0.01], Reward=  45960.11 /  45960.11 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:760(1704184), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward=  45959.62 /  45959.62 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:780(1704204), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward=  45959.38 /  45959.38 /  260769.07, epsilon=  0.100, speed= -0.00, gear= 1, damage= 37.00
Ep:1700 step:800(1704224), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45959.21 /  45959.21 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:820(1704244), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.04, pen= 0.02, r_old= 0.00], Reward=  45958.72 /  45958.72 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
