=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:2 step:440(691), a_t=[s= 0.16, t= 0.488935, b= 0.000000], r_t=[r=-0.42, prog= 0.06, pen=-0.44, r_old=-0.42], Reward= -174.50 / -174.50 / -29.69, epsilon=  0.998, speed=  0.18, gear= 1, damage= 120.00
Ep:2 step:460(711), a_t=[s=-1.00, t= 0.488804, b= 0.000000], r_t=[r=-0.08, prog= 0.01, pen=-0.08, r_old=-0.08], Reward= -176.41 / -176.41 / -29.69, epsilon=  0.998, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:480(731), a_t=[s=-1.00, t= 0.520978, b= 0.000000], r_t=[r=-0.17, prog= 0.02, pen=-0.18, r_old=-0.17], Reward= -180.94 / -180.94 / -29.69, epsilon=  0.998, speed=  0.07, gear= 1, damage= 120.00
Ep:2 step:500(751), a_t=[s= 0.56, t= 0.552840, b= 0.000000], r_t=[r=-0.33, prog= 0.04, pen=-0.34, r_old=-0.33], Reward= -184.14 / -184.14 / -29.69, epsilon=  0.997, speed=  0.14, gear= 1, damage= 120.00
Ep:2 step:520(771), a_t=[s=-0.69, t= 0.581103, b= 0.000000], r_t=[r=-0.49, prog= 0.05, pen=-0.51, r_old=-0.49], Reward= -188.14 / -188.14 / -29.69, epsilon=  0.997, speed=  0.21, gear= 1, damage= 120.00
Ep:2 step:540(791), a_t=[s= 1.00, t= 0.553093, b= 0.000000], r_t=[r=-0.19, prog= 0.02, pen=-0.20, r_old=-0.19], Reward= -190.74 / -190.74 / -29.69, epsilon=  0.997, speed=  0.08, gear= 1, damage= 120.00
Ep:2 step:560(811), a_t=[s=-0.96, t= 0.446210, b= 0.000000], r_t=[r=-0.37, prog= 0.04, pen=-0.38, r_old=-0.37], Reward= -195.16 / -195.16 / -29.69, epsilon=  0.997, speed=  0.15, gear= 1, damage= 120.00
Ep:2 step:580(831), a_t=[s=-0.68, t= 0.493711, b= 0.000000], r_t=[r= 0.03, prog=-0.02, pen= 0.03, r_old= 0.03], Reward= -197.10 / -197.10 / -29.69, epsilon=  0.997, speed= -0.07, gear= 1, damage= 120.00
Ep:2 step:600(851), a_t=[s=-1.00, t= 0.477073, b= 0.000000], r_t=[r=-0.46, prog= 0.05, pen=-0.48, r_old=-0.46], Reward= -199.22 / -199.22 / -29.69, epsilon=  0.997, speed=  0.19, gear= 1, damage= 120.00
Ep:2 step:620(871), a_t=[s=-1.00, t= 0.399805, b= 0.000000], r_t=[r=-0.38, prog= 0.04, pen=-0.39, r_old=-0.38], Reward= -201.99 / -201.99 / -29.69, epsilon=  0.997, speed=  0.16, gear= 1, damage= 120.00
Ep:2 step:640(891), a_t=[s= 0.11, t= 0.434500, b= 0.000000], r_t=[r=-0.25, prog= 0.03, pen=-0.26, r_old=-0.25], Reward= -204.79 / -204.79 / -29.69, epsilon=  0.997, speed=  0.10, gear= 1, damage= 120.00
Ep:2 step:660(911), a_t=[s=-0.35, t= 0.393333, b= 0.000000], r_t=[r=-0.12, prog= 0.01, pen=-0.13, r_old=-0.12], Reward= -207.93 / -207.93 / -29.69, epsilon=  0.997, speed=  0.05, gear= 1, damage= 120.00
Ep:2 step:680(931), a_t=[s=-0.55, t= 0.645278, b= 0.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward= -210.43 / -210.43 / -29.69, epsilon=  0.997, speed= -0.01, gear= 1, damage= 120.00
Ep:2 step:700(951), a_t=[s=-1.00, t= 0.530557, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -212.53 / -212.53 / -29.69, epsilon=  0.997, speed= -0.02, gear= 1, damage= 120.00
Ep:2 step:720(971), a_t=[s=-1.00, t= 0.545761, b= 0.000000], r_t=[r=-0.50, prog= 0.06, pen=-0.51, r_old=-0.50], Reward= -215.00 / -215.00 / -29.69, epsilon=  0.997, speed=  0.21, gear= 1, damage= 120.00
Ep:2 step:740(991), a_t=[s=-0.41, t= 0.602904, b= 0.000000], r_t=[r= 0.02, prog=-0.01, pen= 0.02, r_old= 0.02], Reward= -217.35 / -217.35 / -29.69, epsilon=  0.997, speed= -0.05, gear= 1, damage= 120.00
Ep:2 step:760(1011), a_t=[s=-0.35, t= 0.433647, b= 0.000000], r_t=[r=-0.04, prog= 0.01, pen=-0.05, r_old=-0.04], Reward= -221.06 / -221.06 / -29.69, epsilon=  0.997, speed=  0.02, gear= 1, damage= 120.00
Ep:2 step:780(1031), a_t=[s=-0.99, t= 0.474182, b= 0.000000], r_t=[r=-0.06, prog= 0.01, pen=-0.06, r_old=-0.06], Reward= -223.16 / -223.16 / -29.69, epsilon=  0.997, speed=  0.02, gear= 1, damage= 120.00
Ep:2 step:800(1051), a_t=[s=-0.01, t= 0.542078, b= 0.000000], r_t=[r=-0.41, prog= 0.05, pen=-0.42, r_old=-0.41], Reward= -226.41 / -226.41 / -29.69, epsilon=  0.996, speed=  0.17, gear= 1, damage= 120.00
Ep:2 step:820(1071), a_t=[s=-0.41, t= 0.524117, b= 0.000000], r_t=[r=-0.20, prog= 0.03, pen=-0.20, r_old=-0.20], Reward= -229.89 / -229.89 / -29.69, epsilon=  0.996, speed=  0.08, gear= 1, damage= 120.00
Ep:2 step:840(1091), a_t=[s=-1.00, t= 0.455007, b= 0.000000], r_t=[r=-0.03, prog= 0.00, pen=-0.03, r_old=-0.03], Reward= -231.78 / -231.78 / -29.69, epsilon=  0.996, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:860(1111), a_t=[s= 0.31, t= 0.545399, b= 0.000000], r_t=[r= 0.04, prog=-0.03, pen= 0.05, r_old= 0.04], Reward= -234.48 / -234.48 / -29.69, epsilon=  0.996, speed= -0.11, gear= 1, damage= 120.00
