=============================================================
 starting episode: 400/2000
Waiting for server on 3103............
Count Down : 5
Waiting for server on 3103............
Count Down : 4
Waiting for server on 3103............
Count Down : 3
Waiting for server on 3103............
Count Down : 2
Waiting for server on 3103............
Count Down : 1
Waiting for server on 3103............
Count Down : 0
Waiting for server on 3103............
Count Down : -1
Waiting for server on 3103............
Count Down : 4
Client connected on 3103..............
Ep:400 step:880(118935), a_t=[s=-0.04, t= 0.000630, b= 0.000000], r_t=[r= 15.80, prog= 18.65, pen=-2.85, r_old= 15.80], Reward=  4368.79 /  4368.79 /  360728.74, epsilon=  0.620, speed=  6.30, gear= 1, damage= 0.00
Ep:400 step:900(118955), a_t=[s= 0.31, t= 0.000411, b= 0.000000], r_t=[r= 13.29, prog= 14.85, pen=-1.56, r_old= 13.29], Reward=  4655.85 /  4655.85 /  360728.74, epsilon=  0.620, speed=  5.00, gear= 1, damage= 0.00
Ep:400 step:920(118975), a_t=[s= 0.20, t= 0.000901, b= 0.000000], r_t=[r= 10.14, prog= 10.90, pen=-0.76, r_old= 10.14], Reward=  4886.69 /  4886.69 /  360728.74, epsilon=  0.620, speed=  3.66, gear= 1, damage= 0.00
Ep:400 step:940(118995), a_t=[s=-0.43, t= 0.033473, b= 0.000000], r_t=[r= 7.39, prog= 7.76, pen=-0.37, r_old= 7.39], Reward=  5057.07 /  5057.07 /  360728.74, epsilon=  0.620, speed=  2.61, gear= 1, damage= 0.00
Ep:400 step:960(119015), a_t=[s=-0.04, t= 0.005760, b= 0.000000], r_t=[r= 5.11, prog= 5.39, pen=-0.28, r_old= 5.11], Reward=  5190.57 /  5190.57 /  360728.74, epsilon=  0.620, speed=  1.81, gear= 1, damage= 0.00
Ep:400 step:980(119035), a_t=[s=-0.18, t= 0.027376, b= 0.000000], r_t=[r= 1.40, prog= 1.48, pen=-0.08, r_old= 1.40], Reward=  5246.48 /  5246.48 /  360728.74, epsilon=  0.620, speed=  0.50, gear= 1, damage= 0.00
Ep:400 step:1000(119055), a_t=[s=-0.28, t= 0.019868, b= 0.000000], r_t=[r= 0.14, prog= 0.15, pen=-0.01, r_old= 0.14], Reward=  5251.15 /  5251.15 /  360728.74, epsilon=  0.620, speed=  0.05, gear= 1, damage= 0.00
Ep:400 step:1020(119075), a_t=[s= 0.57, t= 0.000713, b= 0.000000], r_t=[r= 0.04, prog= 0.04, pen=-0.00, r_old= 0.04], Reward=  5267.92 /  5267.92 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:1040(119095), a_t=[s= 0.68, t= 0.000847, b= 0.000000], r_t=[r=-0.16, prog=-0.16, pen=-0.00, r_old=-0.16], Reward=  5271.95 /  5271.95 /  360728.74, epsilon=  0.620, speed= -0.05, gear= 1, damage= 0.00
Ep:400 step:1060(119115), a_t=[s=-0.12, t= 0.016068, b= 0.000000], r_t=[r= 0.26, prog= 0.27, pen=-0.02, r_old= 0.26], Reward=  5275.05 /  5275.05 /  360728.74, epsilon=  0.620, speed=  0.09, gear= 1, damage= 0.00
Ep:400 step:1080(119135), a_t=[s= 0.21, t= 0.002078, b= 0.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward=  5279.54 /  5279.54 /  360728.74, epsilon=  0.620, speed= -0.01, gear= 1, damage= 0.00
Ep:400 step:1100(119155), a_t=[s= 0.01, t= 0.005188, b= 0.000000], r_t=[r= 0.07, prog= 0.07, pen=-0.00, r_old= 0.07], Reward=  5281.90 /  5281.90 /  360728.74, epsilon=  0.620, speed=  0.02, gear= 1, damage= 0.00
Ep:400 step:1120(119175), a_t=[s=-0.37, t= 0.022214, b= 0.000000], r_t=[r= 0.47, prog= 0.50, pen=-0.03, r_old= 0.47], Reward=  5285.28 /  5285.28 /  360728.74, epsilon=  0.620, speed=  0.17, gear= 1, damage= 0.00
Ep:400 step:1140(119195), a_t=[s=-0.34, t= 0.030106, b= 0.000000], r_t=[r= 0.66, prog= 0.70, pen=-0.04, r_old= 0.66], Reward=  5288.10 /  5288.10 /  360728.74, epsilon=  0.620, speed=  0.24, gear= 1, damage= 0.00
Ep:400 step:1160(119215), a_t=[s=-0.04, t= 0.005363, b= 0.000000], r_t=[r=-0.37, prog=-0.36, pen=-0.01, r_old=-0.37], Reward=  5288.60 /  5288.60 /  360728.74, epsilon=  0.620, speed= -0.12, gear= 1, damage= 0.00
Ep:400 step:1180(119235), a_t=[s=-0.19, t= 0.009273, b= 0.000000], r_t=[r=-0.18, prog=-0.18, pen=-0.00, r_old=-0.18], Reward=  5292.32 /  5292.32 /  360728.74, epsilon=  0.620, speed= -0.06, gear= 1, damage= 0.00
Ep:400 step:1200(119255), a_t=[s= 0.39, t= 0.000987, b= 0.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward=  5293.35 /  5293.35 /  360728.74, epsilon=  0.620, speed= -0.03, gear= 1, damage= 0.00
Ep:400 step:1220(119275), a_t=[s= 0.08, t= 0.002796, b= 0.000000], r_t=[r= 0.18, prog= 0.19, pen=-0.01, r_old= 0.18], Reward=  5294.32 /  5294.32 /  360728.74, epsilon=  0.620, speed=  0.07, gear= 1, damage= 0.00
Ep:400 step:1240(119295), a_t=[s=-0.12, t= 0.008662, b= 0.000000], r_t=[r=-0.37, prog=-0.36, pen=-0.01, r_old=-0.37], Reward=  5294.97 /  5294.97 /  360728.74, epsilon=  0.620, speed= -0.12, gear= 1, damage= 0.00
Ep:400 step:1260(119315), a_t=[s= 0.03, t= 0.003084, b= 0.000000], r_t=[r=-0.04, prog=-0.04, pen=-0.00, r_old=-0.04], Reward=  5296.82 /  5296.82 /  360728.74, epsilon=  0.620, speed= -0.01, gear= 1, damage= 0.00
Ep:400 step:1280(119335), a_t=[s= 0.06, t= 0.004369, b= 0.000000], r_t=[r= 0.35, prog= 0.37, pen=-0.02, r_old= 0.35], Reward=  5300.68 /  5300.68 /  360728.74, epsilon=  0.620, speed=  0.13, gear= 1, damage= 0.00
Ep:400 step:1300(119355), a_t=[s=-0.01, t= 0.006379, b= 0.000000], r_t=[r= 0.06, prog= 0.07, pen=-0.00, r_old= 0.06], Reward=  5302.75 /  5302.75 /  360728.74, epsilon=  0.620, speed=  0.02, gear= 1, damage= 0.00
Ep:400 step:1320(119375), a_t=[s= 0.16, t= 0.002853, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  5306.81 /  5306.81 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:1340(119395), a_t=[s=-0.30, t= 0.020232, b= 0.000000], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward=  5308.65 /  5308.65 /  360728.74, epsilon=  0.620, speed= -0.01, gear= 1, damage= 0.00
Ep:400 step:1360(119415), a_t=[s= 0.25, t= 0.001993, b= 0.000000], r_t=[r=-0.19, prog=-0.18, pen=-0.00, r_old=-0.19], Reward=  5311.17 /  5311.17 /  360728.74, epsilon=  0.620, speed= -0.06, gear= 1, damage= 0.00
Ep:400 step:1380(119435), a_t=[s=-0.13, t= 0.012385, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward=  5314.02 /  5314.02 /  360728.74, epsilon=  0.620, speed= -0.00, gear= 1, damage= 0.00
Ep:400 step:1400(119455), a_t=[s=-0.43, t= 0.053510, b= 0.000000], r_t=[r= 0.41, prog= 0.43, pen=-0.03, r_old= 0.41], Reward=  5317.68 /  5317.68 /  360728.74, epsilon=  0.620, speed=  0.15, gear= 1, damage= 0.00
Ep:400 step:1420(119475), a_t=[s= 0.19, t= 0.001720, b= 0.000000], r_t=[r= 0.04, prog= 0.04, pen=-0.00, r_old= 0.04], Reward=  5325.10 /  5325.10 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:1440(119495), a_t=[s= 0.12, t= 0.005641, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward=  5326.70 /  5326.70 /  360728.74, epsilon=  0.620, speed= -0.00, gear= 1, damage= 0.00
Ep:400 step:1460(119515), a_t=[s=-0.35, t= 0.057401, b= 0.000000], r_t=[r= 0.35, prog= 0.37, pen=-0.02, r_old= 0.35], Reward=  5329.12 /  5329.12 /  360728.74, epsilon=  0.620, speed=  0.13, gear= 1, damage= 0.00
Ep:400 step:1480(119535), a_t=[s=-0.28, t= 0.019927, b= 0.000000], r_t=[r= 0.30, prog= 0.32, pen=-0.02, r_old= 0.30], Reward=  5330.83 /  5330.83 /  360728.74, epsilon=  0.620, speed=  0.11, gear= 1, damage= 0.00
Ep:400 step:1500(119555), a_t=[s= 0.02, t= 0.008775, b= 0.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  5330.74 /  5330.74 /  360728.74, epsilon=  0.620, speed=  0.00, gear= 1, damage= 0.00
Ep:400 step:1520(119575), a_t=[s= 0.08, t= 0.003647, b= 0.000000], r_t=[r=-0.36, prog=-0.36, pen=-0.01, r_old=-0.36], Reward=  5332.43 /  5332.43 /  360728.74, epsilon=  0.620, speed= -0.12, gear= 1, damage= 0.00
Ep:400 step:1540(119595), a_t=[s= 0.02, t= 0.003991, b= 0.000000], r_t=[r= 0.16, prog= 0.17, pen=-0.01, r_old= 0.16], Reward=  5333.79 /  5333.79 /  360728.74, epsilon=  0.620, speed=  0.06, gear= 1, damage= 0.00
Ep:400 step:1560(119615), a_t=[s= 0.27, t= 0.001322, b= 0.000000], r_t=[r= 0.15, prog= 0.16, pen=-0.01, r_old= 0.15], Reward=  5335.22 /  5335.22 /  360728.74, epsilon=  0.620, speed=  0.05, gear= 1, damage= 0.00
Ep:400 step:1580(119635), a_t=[s= 0.04, t= 0.004291, b= 0.000000], r_t=[r=-0.31, prog=-0.30, pen=-0.01, r_old=-0.31], Reward=  5334.35 /  5334.35 /  360728.74, epsilon=  0.620, speed= -0.10, gear= 1, damage= 0.00
Ep:400 step:1600(119655), a_t=[s=-0.25, t= 0.014602, b= 0.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  5336.44 /  5336.44 /  360728.74, epsilon=  0.620, speed=  0.03, gear= 1, damage= 0.00
Ep:400 step:1620(119675), a_t=[s= 0.38, t= 0.001027, b= 0.000000], r_t=[r= 0.43, prog= 0.47, pen=-0.03, r_old= 0.43], Reward=  5336.59 /  5336.59 /  360728.74, epsilon=  0.620, speed=  0.16, gear= 1, damage= 0.00
Ep:400 step:1640(119695), a_t=[s= 0.09, t= 0.001562, b= 0.000000], r_t=[r=-0.14, prog=-0.14, pen=-0.00, r_old=-0.14], Reward=  5336.88 /  5336.88 /  360728.74, epsilon=  0.620, speed= -0.05, gear= 1, damage= 0.00
Ep:400 step:1660(119715), a_t=[s= 0.32, t= 0.000793, b= 0.000000], r_t=[r=-0.11, prog=-0.11, pen=-0.00, r_old=-0.11], Reward=  5336.60 /  5336.60 /  360728.74, epsilon=  0.620, speed= -0.04, gear= 1, damage= 0.00
Ep:400 step:1680(119735), a_t=[s= 0.09, t= 0.002193, b= 0.000000], r_t=[r= 0.27, prog= 0.29, pen=-0.02, r_old= 0.27], Reward=  5337.59 /  5337.59 /  360728.74, epsilon=  0.620, speed=  0.10, gear= 1, damage= 0.00
Ep:400 step:1700(119755), a_t=[s= 0.65, t= 0.000202, b= 0.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  5337.47 /  5337.47 /  360728.74, epsilon=  0.620, speed=  0.03, gear= 1, damage= 0.00
Ep:400 step:1720(119775), a_t=[s= 0.62, t= 0.000276, b= 0.000000], r_t=[r=-0.37, prog=-0.37, pen=-0.01, r_old=-0.37], Reward=  5335.75 /  5335.75 /  360728.74, epsilon=  0.620, speed= -0.12, gear= 1, damage= 0.00
Ep:400 step:1740(119795), a_t=[s=-0.19, t= 0.007754, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  5335.61 /  5335.61 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:1760(119815), a_t=[s= 0.20, t= 0.000948, b= 0.000000], r_t=[r= 0.31, prog= 0.34, pen=-0.02, r_old= 0.31], Reward=  5335.42 /  5335.42 /  360728.74, epsilon=  0.620, speed=  0.11, gear= 1, damage= 0.00
Ep:400 step:1780(119835), a_t=[s= 0.18, t= 0.000720, b= 0.000000], r_t=[r= 0.06, prog= 0.06, pen=-0.00, r_old= 0.06], Reward=  5336.39 /  5336.39 /  360728.74, epsilon=  0.620, speed=  0.02, gear= 1, damage= 0.00
Ep:400 step:1800(119855), a_t=[s= 0.08, t= 0.002759, b= 0.000000], r_t=[r=-0.15, prog=-0.14, pen=-0.00, r_old=-0.15], Reward=  5337.05 /  5337.05 /  360728.74, epsilon=  0.620, speed= -0.05, gear= 1, damage= 0.00
Ep:400 step:1820(119875), a_t=[s= 0.51, t= 0.000519, b= 0.000000], r_t=[r= 0.10, prog= 0.11, pen=-0.01, r_old= 0.10], Reward=  5339.23 /  5339.23 /  360728.74, epsilon=  0.620, speed=  0.04, gear= 1, damage= 0.00
Ep:400 step:1840(119895), a_t=[s= 0.18, t= 0.001623, b= 0.000000], r_t=[r= 0.16, prog= 0.17, pen=-0.01, r_old= 0.16], Reward=  5339.73 /  5339.73 /  360728.74, epsilon=  0.620, speed=  0.06, gear= 1, damage= 0.00
Ep:400 step:1860(119915), a_t=[s= 0.42, t= 0.000411, b= 0.000000], r_t=[r= 0.16, prog= 0.17, pen=-0.01, r_old= 0.16], Reward=  5339.64 /  5339.64 /  360728.74, epsilon=  0.620, speed=  0.06, gear= 1, damage= 0.00
Ep:400 step:1880(119935), a_t=[s= 0.56, t= 0.000358, b= 0.000000], r_t=[r= 0.28, prog= 0.30, pen=-0.02, r_old= 0.28], Reward=  5340.03 /  5340.03 /  360728.74, epsilon=  0.620, speed=  0.10, gear= 1, damage= 0.00
Ep:400 step:1900(119955), a_t=[s= 0.70, t= 0.000097, b= 0.000000], r_t=[r=-0.14, prog=-0.14, pen=-0.00, r_old=-0.14], Reward=  5340.10 /  5340.10 /  360728.74, epsilon=  0.620, speed= -0.05, gear= 1, damage= 0.00
Ep:400 step:1920(119975), a_t=[s=-0.13, t= 0.002795, b= 0.000000], r_t=[r=-0.04, prog=-0.04, pen=-0.00, r_old=-0.04], Reward=  5342.14 /  5342.14 /  360728.74, epsilon=  0.620, speed= -0.01, gear= 1, damage= 0.00
Ep:400 step:1940(119995), a_t=[s=-0.05, t= 0.006533, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  5343.35 /  5343.35 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:1960(120015), a_t=[s=-0.00, t= 0.002451, b= 0.000000], r_t=[r=-0.15, prog=-0.14, pen=-0.00, r_old=-0.15], Reward=  5343.37 /  5343.37 /  360728.74, epsilon=  0.620, speed= -0.05, gear= 1, damage= 0.00
Ep:400 step:1980(120035), a_t=[s=-0.04, t= 0.003443, b= 0.000000], r_t=[r= 0.08, prog= 0.09, pen=-0.01, r_old= 0.08], Reward=  5345.17 /  5345.17 /  360728.74, epsilon=  0.620, speed=  0.03, gear= 1, damage= 0.00
=============================================================
 starting episode: 401/2000
Waiting for server on 3103............
