=============================================================
 starting episode: 100/2000
Client connected on 3104..............
Ep:100 step:1040(41330), a_t=[s= 0.06, t= 0.028785, b= 1.000000], r_t=[r=-0.26, prog=-0.26, pen=-0.00, r_old=-0.26], Reward= -15.15 / -15.15 /  89455.67, epsilon=  0.892, speed= -0.09, gear= 1, damage= 0.00
Ep:100 step:1060(41350), a_t=[s= 0.05, t= 0.027618, b= 1.000000], r_t=[r= 0.06, prog= 0.07, pen=-0.01, r_old= 0.06], Reward= -16.52 / -16.52 /  89455.67, epsilon=  0.892, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1080(41370), a_t=[s= 0.06, t= 0.027578, b= 1.000000], r_t=[r= 0.16, prog= 0.19, pen=-0.03, r_old= 0.16], Reward= -17.66 / -17.66 /  89455.67, epsilon=  0.892, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1100(41390), a_t=[s= 0.06, t= 0.027276, b= 1.000000], r_t=[r= 0.13, prog= 0.15, pen=-0.02, r_old= 0.13], Reward= -16.85 / -16.85 /  89455.67, epsilon=  0.892, speed=  0.05, gear= 1, damage= 0.00
Ep:100 step:1120(41410), a_t=[s= 0.07, t= 0.027392, b= 1.000000], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward= -17.65 / -17.65 /  89455.67, epsilon=  0.892, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1140(41430), a_t=[s= 0.07, t= 0.027040, b= 1.000000], r_t=[r=-0.16, prog=-0.16, pen=-0.00, r_old=-0.16], Reward= -19.10 / -19.10 /  89455.67, epsilon=  0.892, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:1160(41450), a_t=[s= 0.07, t= 0.026176, b= 1.000000], r_t=[r=-0.09, prog=-0.09, pen=-0.00, r_old=-0.09], Reward= -20.96 / -20.96 /  89455.67, epsilon=  0.892, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1180(41470), a_t=[s= 0.08, t= 0.026486, b= 1.000000], r_t=[r= 0.16, prog= 0.19, pen=-0.03, r_old= 0.16], Reward= -23.38 / -23.38 /  89455.67, epsilon=  0.892, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1200(41490), a_t=[s= 0.08, t= 0.026045, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen=-0.00, r_old=-0.07], Reward= -23.33 / -23.33 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:1220(41510), a_t=[s= 0.08, t= 0.025136, b= 1.000000], r_t=[r= 0.25, prog= 0.29, pen=-0.04, r_old= 0.25], Reward= -22.79 / -22.79 /  89455.67, epsilon=  0.892, speed=  0.10, gear= 1, damage= 0.00
Ep:100 step:1240(41530), a_t=[s= 0.09, t= 0.025469, b= 1.000000], r_t=[r= 0.09, prog= 0.11, pen=-0.02, r_old= 0.09], Reward= -23.07 / -23.07 /  89455.67, epsilon=  0.892, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:1260(41550), a_t=[s= 0.10, t= 0.025194, b= 1.000000], r_t=[r= 0.24, prog= 0.28, pen=-0.05, r_old= 0.24], Reward= -23.24 / -23.24 /  89455.67, epsilon=  0.892, speed=  0.10, gear= 1, damage= 0.00
Ep:100 step:1280(41570), a_t=[s= 0.10, t= 0.024718, b= 1.000000], r_t=[r=-0.18, prog=-0.17, pen=-0.00, r_old=-0.18], Reward= -25.34 / -25.34 /  89455.67, epsilon=  0.892, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:1300(41590), a_t=[s= 0.10, t= 0.024479, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward= -26.49 / -26.49 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
