=============================================================
 starting episode: 500/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:500 step:720(155293), a_t=[s=-0.98, t= 0.000001, b= 0.000000], r_t=[r=-0.40, prog=-0.48, pen= 0.08, r_old=-0.40], Reward=  278.89 /  278.89 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:740(155313), a_t=[s=-0.98, t= 0.000001, b= 0.000000], r_t=[r=-0.56, prog=-0.67, pen= 0.11, r_old=-0.56], Reward=  272.13 /  272.13 /  287635.09, epsilon=  0.626, speed= -0.23, gear= 1, damage= 0.00
Ep:500 step:760(155333), a_t=[s=-0.98, t= 0.000002, b= 0.000000], r_t=[r=-0.04, prog=-0.05, pen= 0.01, r_old=-0.04], Reward=  266.36 /  266.36 /  287635.09, epsilon=  0.626, speed= -0.02, gear= 1, damage= 0.00
Ep:500 step:780(155353), a_t=[s=-0.98, t= 0.000002, b= 0.000000], r_t=[r=-0.12, prog=-0.14, pen= 0.02, r_old=-0.12], Reward=  261.64 /  261.64 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:800(155373), a_t=[s=-0.98, t= 0.000001, b= 0.000000], r_t=[r=-0.27, prog=-0.33, pen= 0.06, r_old=-0.27], Reward=  256.12 /  256.12 /  287635.09, epsilon=  0.626, speed= -0.11, gear= 1, damage= 0.00
Ep:500 step:820(155393), a_t=[s=-0.98, t= 0.000001, b= 0.000000], r_t=[r=-0.55, prog=-0.67, pen= 0.12, r_old=-0.55], Reward=  248.83 /  248.83 /  287635.09, epsilon=  0.626, speed= -0.23, gear= 1, damage= 0.00
Ep:500 step:840(155413), a_t=[s=-0.96, t= 0.000000, b= 0.000000], r_t=[r=-0.21, prog=-0.25, pen= 0.05, r_old=-0.21], Reward=  242.03 /  242.03 /  287635.09, epsilon=  0.626, speed= -0.09, gear= 1, damage= 0.00
Ep:500 step:860(155433), a_t=[s=-0.97, t= 0.000000, b= 0.000000], r_t=[r=-0.11, prog=-0.13, pen= 0.03, r_old=-0.11], Reward=  236.93 /  236.93 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:880(155453), a_t=[s=-0.95, t= 0.000000, b= 0.000000], r_t=[r=-0.17, prog=-0.20, pen= 0.04, r_old=-0.17], Reward=  232.03 /  232.03 /  287635.09, epsilon=  0.626, speed= -0.07, gear= 1, damage= 0.00
Ep:500 step:900(155473), a_t=[s=-0.97, t= 0.000000, b= 0.000000], r_t=[r=-0.71, prog=-0.88, pen= 0.17, r_old=-0.71], Reward=  224.52 /  224.52 /  287635.09, epsilon=  0.626, speed= -0.30, gear= 1, damage= 0.00
Ep:500 step:920(155493), a_t=[s=-0.93, t= 0.000000, b= 0.000000], r_t=[r= 0.11, prog= 0.16, pen=-0.05, r_old= 0.11], Reward=  219.40 /  219.40 /  287635.09, epsilon=  0.626, speed=  0.05, gear= 1, damage= 0.00
Ep:500 step:940(155513), a_t=[s=-0.93, t= 0.000000, b= 0.000000], r_t=[r=-0.24, prog=-0.30, pen= 0.06, r_old=-0.24], Reward=  214.45 /  214.45 /  287635.09, epsilon=  0.626, speed= -0.10, gear= 1, damage= 0.00
Ep:500 step:960(155533), a_t=[s=-0.94, t= 0.000000, b= 0.000000], r_t=[r=-0.61, prog=-0.78, pen= 0.17, r_old=-0.61], Reward=  207.73 /  207.73 /  287635.09, epsilon=  0.626, speed= -0.26, gear= 1, damage= 0.00
Ep:500 step:980(155553), a_t=[s=-0.72, t= 0.000000, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward=  202.28 /  202.28 /  287635.09, epsilon=  0.626, speed= -0.00, gear= 1, damage= 0.00
Ep:500 step:1000(155573), a_t=[s=-0.68, t= 0.000000, b= 0.000000], r_t=[r=-0.19, prog=-0.25, pen= 0.06, r_old=-0.19], Reward=  197.48 /  197.48 /  287635.09, epsilon=  0.626, speed= -0.08, gear= 1, damage= 0.00
Ep:500 step:1020(155593), a_t=[s=-0.83, t= 0.000000, b= 0.000000], r_t=[r=-0.46, prog=-0.60, pen= 0.14, r_old=-0.46], Reward=  192.28 /  192.28 /  287635.09, epsilon=  0.626, speed= -0.20, gear= 1, damage= 0.00
Ep:500 step:1040(155613), a_t=[s=-0.80, t= 0.000000, b= 0.000000], r_t=[r=-0.20, prog=-0.26, pen= 0.06, r_old=-0.20], Reward=  186.38 /  186.38 /  287635.09, epsilon=  0.626, speed= -0.09, gear= 1, damage= 0.00
Ep:500 step:1060(155633), a_t=[s=-0.80, t= 0.000000, b= 0.000000], r_t=[r=-0.11, prog=-0.15, pen= 0.04, r_old=-0.11], Reward=  181.50 /  181.50 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1080(155653), a_t=[s=-0.56, t= 0.000000, b= 0.000000], r_t=[r=-0.45, prog=-0.60, pen= 0.15, r_old=-0.45], Reward=  177.15 /  177.15 /  287635.09, epsilon=  0.626, speed= -0.20, gear= 1, damage= 0.00
Ep:500 step:1100(155673), a_t=[s=-0.67, t= 0.000000, b= 0.000000], r_t=[r=-0.30, prog=-0.41, pen= 0.11, r_old=-0.30], Reward=  172.24 /  172.24 /  287635.09, epsilon=  0.626, speed= -0.14, gear= 1, damage= 0.00
Ep:500 step:1120(155693), a_t=[s=-0.47, t= 0.000000, b= 0.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  169.17 /  169.17 /  287635.09, epsilon=  0.626, speed=  0.00, gear= 1, damage= 0.00
Ep:500 step:1140(155713), a_t=[s=-0.60, t= 0.000000, b= 0.000000], r_t=[r=-0.33, prog=-0.46, pen= 0.13, r_old=-0.33], Reward=  165.24 /  165.24 /  287635.09, epsilon=  0.626, speed= -0.15, gear= 1, damage= 0.00
Ep:500 step:1160(155733), a_t=[s=-0.43, t= 0.000000, b= 0.000000], r_t=[r=-0.29, prog=-0.41, pen= 0.12, r_old=-0.29], Reward=  160.46 /  160.46 /  287635.09, epsilon=  0.626, speed= -0.14, gear= 1, damage= 0.00
Ep:500 step:1180(155753), a_t=[s=-0.51, t= 0.000000, b= 0.000000], r_t=[r=-0.39, prog=-0.55, pen= 0.17, r_old=-0.39], Reward=  156.32 /  156.32 /  287635.09, epsilon=  0.626, speed= -0.19, gear= 1, damage= 0.00
Ep:500 step:1200(155773), a_t=[s=-0.58, t= 0.000000, b= 0.000000], r_t=[r=-0.08, prog=-0.12, pen= 0.04, r_old=-0.08], Reward=  150.58 /  150.58 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:1220(155793), a_t=[s= 0.62, t= 0.000000, b= 0.000000], r_t=[r=-0.08, prog=-0.11, pen= 0.03, r_old=-0.08], Reward=  150.62 /  150.62 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:1240(155813), a_t=[s= 0.69, t= 0.000000, b= 0.000000], r_t=[r= 0.16, prog= 0.26, pen=-0.09, r_old= 0.16], Reward=  153.34 /  153.34 /  287635.09, epsilon=  0.626, speed=  0.09, gear= 1, damage= 0.00
Ep:500 step:1260(155833), a_t=[s= 0.81, t= 0.000000, b= 0.000000], r_t=[r=-0.08, prog=-0.13, pen= 0.05, r_old=-0.08], Reward=  154.27 /  154.27 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:1280(155853), a_t=[s= 0.72, t= 0.000000, b= 0.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.01, r_old= 0.01], Reward=  153.81 /  153.81 /  287635.09, epsilon=  0.626, speed=  0.00, gear= 1, damage= 0.00
Ep:500 step:1300(155873), a_t=[s= 0.76, t= 0.000000, b= 0.000000], r_t=[r=-0.24, prog=-0.38, pen= 0.14, r_old=-0.24], Reward=  151.61 /  151.61 /  287635.09, epsilon=  0.626, speed= -0.13, gear= 1, damage= 0.00
