=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1001 step:180(387589), a_t=[s= 0.60, t= 0.474180, b= 0.000000], r_t=[r= 331.31, prog= 354.13, pen=-22.82, r_old= 331.31], Reward=  61470.31 /  61470.31 /  762017.60, epsilon=  0.100, speed=  118.05, gear= 4, damage= 0.00
Ep:1001 step:200(387609), a_t=[s= 0.03, t= 0.950406, b= 0.000000], r_t=[r= 327.01, prog= 415.16, pen=-88.15, r_old= 327.01], Reward=  68546.37 /  68546.37 /  762017.60, epsilon=  0.100, speed=  138.91, gear= 4, damage= 0.00
Ep:1001 step:220(387629), a_t=[s=-0.33, t= 0.092111, b= 0.000000], r_t=[r= 406.73, prog= 427.18, pen=-20.45, r_old= 406.73], Reward=  76400.60 /  76400.60 /  762017.60, epsilon=  0.100, speed=  142.82, gear= 5, damage= 0.00
Ep:1001 step:240(387649), a_t=[s=-0.12, t= 0.075686, b= 0.000000], r_t=[r= 418.99, prog= 424.87, pen=-5.87, r_old= 418.99], Reward=  84588.34 /  84588.34 /  762017.60, epsilon=  0.100, speed=  141.67, gear= 5, damage= 0.00
Ep:1001 step:260(387669), a_t=[s=-0.18, t= 0.064508, b= 0.000000], r_t=[r= 394.00, prog= 415.28, pen=-21.28, r_old= 394.00], Reward=  92635.52 /  92635.52 /  762017.60, epsilon=  0.100, speed=  138.60, gear= 5, damage= 0.00
Ep:1001 step:280(387689), a_t=[s= 0.31, t= 0.864324, b= 0.000000], r_t=[r= 344.16, prog= 402.02, pen=-57.87, r_old= 344.16], Reward=  99808.79 /  99808.79 /  762017.60, epsilon=  0.100, speed=  134.43, gear= 4, damage= 0.00
Ep:1001 step:300(387709), a_t=[s= 0.03, t= 0.863532, b= 0.000000], r_t=[r= 397.29, prog= 415.69, pen=-18.40, r_old= 397.29], Reward=  107616.61 /  107616.61 /  762017.60, epsilon=  0.100, speed=  138.61, gear= 4, damage= 0.00
Ep:1001 step:320(387729), a_t=[s=-0.14, t= 0.069058, b= 0.000000], r_t=[r= 397.85, prog= 431.47, pen=-33.62, r_old= 397.85], Reward=  115738.70 /  115738.70 /  762017.60, epsilon=  0.100, speed=  144.46, gear= 5, damage= 0.00
Ep:1001 step:340(387749), a_t=[s= 0.44, t= 0.957215, b= 0.000000], r_t=[r= 355.85, prog= 422.02, pen=-66.17, r_old= 355.85], Reward=  123145.50 /  123145.50 /  762017.60, epsilon=  0.100, speed=  140.85, gear= 4, damage= 0.00
Ep:1001 step:360(387769), a_t=[s= 0.11, t= 0.951970, b= 0.002048], r_t=[r= 360.47, prog= 443.04, pen=-82.58, r_old= 360.47], Reward=  130297.39 /  130297.39 /  762017.60, epsilon=  0.100, speed=  147.69, gear= 5, damage= 0.00
Ep:1001 step:380(387789), a_t=[s=-0.01, t= 0.710882, b= 0.000000], r_t=[r= 375.43, prog= 405.10, pen=-29.67, r_old= 375.43], Reward=  138223.12 /  138223.12 /  762017.60, epsilon=  0.100, speed=  137.06, gear= 4, damage= 0.00
