=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3110..............
Ep:1200 step:680(564917), a_t=[s=-0.48, t= 0.999999, b= 0.789072], r_t=[r=-0.01, prog=-0.02, pen= 0.00, r_old=-0.01], Reward=  11206.38 /  11206.38 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:700(564937), a_t=[s=-0.75, t= 0.999999, b= 0.899902], r_t=[r=-0.07, prog=-0.09, pen= 0.02, r_old=-0.07], Reward=  11207.62 /  11207.62 /  813663.41, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1200 step:720(564957), a_t=[s=-0.85, t= 0.999998, b= 0.931936], r_t=[r= 0.29, prog= 0.39, pen=-0.11, r_old= 0.29], Reward=  11208.47 /  11208.47 /  813663.41, epsilon=  0.100, speed=  0.13, gear= 1, damage= 0.00
Ep:1200 step:740(564977), a_t=[s=-0.88, t= 0.999998, b= 0.936179], r_t=[r= 0.04, prog= 0.05, pen=-0.01, r_old= 0.04], Reward=  11208.92 /  11208.92 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:760(564997), a_t=[s=-0.87, t= 0.999998, b= 0.935918], r_t=[r= 0.05, prog= 0.07, pen=-0.02, r_old= 0.05], Reward=  11209.57 /  11209.57 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:780(565017), a_t=[s=-0.87, t= 0.999998, b= 0.935218], r_t=[r= 0.24, prog= 0.33, pen=-0.09, r_old= 0.24], Reward=  11209.70 /  11209.70 /  813663.41, epsilon=  0.100, speed=  0.11, gear= 1, damage= 0.00
Ep:1200 step:800(565037), a_t=[s=-0.90, t= 0.999998, b= 0.943346], r_t=[r=-0.16, prog=-0.21, pen= 0.05, r_old=-0.16], Reward=  11210.13 /  11210.13 /  813663.41, epsilon=  0.100, speed= -0.07, gear= 1, damage= 0.00
Ep:1200 step:820(565057), a_t=[s=-0.94, t= 0.999997, b= 0.963066], r_t=[r= 0.04, prog= 0.06, pen=-0.02, r_old= 0.04], Reward=  11211.07 /  11211.07 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:840(565077), a_t=[s=-0.97, t= 0.999996, b= 0.971423], r_t=[r= 0.28, prog= 0.38, pen=-0.10, r_old= 0.28], Reward=  11211.93 /  11211.93 /  813663.41, epsilon=  0.100, speed=  0.13, gear= 1, damage= 0.00
Ep:1200 step:860(565097), a_t=[s=-0.97, t= 0.999994, b= 0.977621], r_t=[r= 0.16, prog= 0.21, pen=-0.06, r_old= 0.16], Reward=  11212.68 /  11212.68 /  813663.41, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1200 step:880(565117), a_t=[s=-0.97, t= 0.999994, b= 0.977872], r_t=[r= 0.16, prog= 0.21, pen=-0.06, r_old= 0.16], Reward=  11213.30 /  11213.30 /  813663.41, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1200 step:900(565137), a_t=[s=-0.97, t= 0.999992, b= 0.977551], r_t=[r=-0.30, prog=-0.41, pen= 0.11, r_old=-0.30], Reward=  11214.13 /  11214.13 /  813663.41, epsilon=  0.100, speed= -0.14, gear= 1, damage= 0.00
Ep:1200 step:920(565157), a_t=[s=-0.97, t= 0.999993, b= 0.977323], r_t=[r= 0.01, prog= 0.02, pen=-0.00, r_old= 0.01], Reward=  11214.24 /  11214.24 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:940(565177), a_t=[s=-0.95, t= 0.999992, b= 0.974686], r_t=[r= 0.02, prog= 0.03, pen=-0.01, r_old= 0.02], Reward=  11215.06 /  11215.06 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:960(565197), a_t=[s=-0.95, t= 0.999992, b= 0.969421], r_t=[r=-0.01, prog=-0.02, pen= 0.00, r_old=-0.01], Reward=  11214.57 /  11214.57 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:980(565217), a_t=[s=-0.95, t= 0.999992, b= 0.969429], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  11213.82 /  11213.82 /  813663.41, epsilon=  0.100, speed=  0.00, gear= 1, damage= 0.00
Ep:1200 step:1000(565237), a_t=[s=-0.95, t= 0.999992, b= 0.968749], r_t=[r= 0.22, prog= 0.30, pen=-0.08, r_old= 0.22], Reward=  11215.01 /  11215.01 /  813663.41, epsilon=  0.100, speed=  0.10, gear= 1, damage= 0.00
Ep:1200 step:1020(565257), a_t=[s=-0.95, t= 0.999994, b= 0.957910], r_t=[r=-0.10, prog=-0.13, pen= 0.03, r_old=-0.10], Reward=  11215.69 /  11215.69 /  813663.41, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1200 step:1040(565277), a_t=[s=-0.95, t= 0.999993, b= 0.961037], r_t=[r= 0.06, prog= 0.08, pen=-0.02, r_old= 0.06], Reward=  11217.20 /  11217.20 /  813663.41, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1200 step:1060(565297), a_t=[s=-0.95, t= 0.999995, b= 0.958255], r_t=[r= 0.11, prog= 0.15, pen=-0.04, r_old= 0.11], Reward=  11218.45 /  11218.45 /  813663.41, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1200 step:1080(565317), a_t=[s=-0.95, t= 0.999995, b= 0.955186], r_t=[r=-0.11, prog=-0.15, pen= 0.04, r_old=-0.11], Reward=  11218.84 /  11218.84 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:1100(565337), a_t=[s=-0.95, t= 0.999997, b= 0.944491], r_t=[r=-0.10, prog=-0.14, pen= 0.04, r_old=-0.10], Reward=  11219.08 /  11219.08 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:1120(565357), a_t=[s=-0.95, t= 0.999997, b= 0.933591], r_t=[r= 0.11, prog= 0.15, pen=-0.04, r_old= 0.11], Reward=  11220.36 /  11220.36 /  813663.41, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1200 step:1140(565377), a_t=[s=-0.95, t= 0.999996, b= 0.953119], r_t=[r= 0.07, prog= 0.09, pen=-0.03, r_old= 0.07], Reward=  11221.01 /  11221.01 /  813663.41, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1200 step:1160(565397), a_t=[s=-0.95, t= 0.999997, b= 0.941566], r_t=[r=-0.06, prog=-0.08, pen= 0.02, r_old=-0.06], Reward=  11222.57 /  11222.57 /  813663.41, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1200 step:1180(565417), a_t=[s=-0.95, t= 0.999997, b= 0.937784], r_t=[r= 0.07, prog= 0.09, pen=-0.03, r_old= 0.07], Reward=  11223.65 /  11223.65 /  813663.41, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1200 step:1200(565437), a_t=[s=-0.95, t= 0.999996, b= 0.947827], r_t=[r= 0.05, prog= 0.07, pen=-0.02, r_old= 0.05], Reward=  11224.80 /  11224.80 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:1220(565457), a_t=[s=-0.94, t= 0.999995, b= 0.952779], r_t=[r=-0.13, prog=-0.18, pen= 0.05, r_old=-0.13], Reward=  11225.25 /  11225.25 /  813663.41, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1200 step:1240(565477), a_t=[s=-0.95, t= 0.999995, b= 0.952836], r_t=[r=-0.10, prog=-0.14, pen= 0.04, r_old=-0.10], Reward=  11226.26 /  11226.26 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:1260(565497), a_t=[s=-0.96, t= 0.999998, b= 0.925386], r_t=[r= 0.01, prog= 0.02, pen=-0.00, r_old= 0.01], Reward=  11226.79 /  11226.79 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:1280(565517), a_t=[s=-0.96, t= 0.999998, b= 0.912530], r_t=[r= 0.18, prog= 0.25, pen=-0.07, r_old= 0.18], Reward=  11227.03 /  11227.03 /  813663.41, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1200 step:1300(565537), a_t=[s=-0.96, t= 0.999998, b= 0.922324], r_t=[r= 0.12, prog= 0.16, pen=-0.04, r_old= 0.12], Reward=  11227.29 /  11227.29 /  813663.41, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1200 step:1320(565557), a_t=[s=-0.95, t= 0.999997, b= 0.933394], r_t=[r=-0.02, prog=-0.02, pen= 0.01, r_old=-0.02], Reward=  11228.64 /  11228.64 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:1340(565577), a_t=[s=-0.95, t= 0.999998, b= 0.882064], r_t=[r= 0.18, prog= 0.25, pen=-0.07, r_old= 0.18], Reward=  11229.07 /  11229.07 /  813663.41, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1200 step:1360(565597), a_t=[s=-0.95, t= 0.999997, b= 0.855529], r_t=[r= 0.11, prog= 0.15, pen=-0.04, r_old= 0.11], Reward=  11229.78 /  11229.78 /  813663.41, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1200 step:1380(565617), a_t=[s=-0.95, t= 0.999997, b= 0.860576], r_t=[r=-0.11, prog=-0.15, pen= 0.04, r_old=-0.11], Reward=  11229.99 /  11229.99 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:1400(565637), a_t=[s=-0.95, t= 0.999998, b= 0.905339], r_t=[r=-0.05, prog=-0.07, pen= 0.02, r_old=-0.05], Reward=  11230.44 /  11230.44 /  813663.41, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1200 step:1420(565657), a_t=[s=-0.96, t= 0.999998, b= 0.926618], r_t=[r=-0.05, prog=-0.07, pen= 0.02, r_old=-0.05], Reward=  11231.06 /  11231.06 /  813663.41, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1200 step:1440(565677), a_t=[s=-0.96, t= 0.999998, b= 0.902590], r_t=[r=-0.17, prog=-0.23, pen= 0.06, r_old=-0.17], Reward=  11232.69 /  11232.69 /  813663.41, epsilon=  0.100, speed= -0.08, gear= 1, damage= 0.00
Ep:1200 step:1460(565697), a_t=[s=-0.95, t= 0.999998, b= 0.883955], r_t=[r= 0.12, prog= 0.17, pen=-0.05, r_old= 0.12], Reward=  11234.56 /  11234.56 /  813663.41, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
Ep:1200 step:1480(565717), a_t=[s=-0.95, t= 0.999997, b= 0.863855], r_t=[r= 0.16, prog= 0.22, pen=-0.06, r_old= 0.16], Reward=  11235.82 /  11235.82 /  813663.41, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1200 step:1500(565737), a_t=[s=-0.95, t= 0.999998, b= 0.851365], r_t=[r= 0.05, prog= 0.07, pen=-0.02, r_old= 0.05], Reward=  11237.28 /  11237.28 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:1520(565757), a_t=[s=-0.95, t= 0.999997, b= 0.843894], r_t=[r= 0.33, prog= 0.45, pen=-0.13, r_old= 0.33], Reward=  11238.62 /  11238.62 /  813663.41, epsilon=  0.100, speed=  0.15, gear= 1, damage= 0.00
Ep:1200 step:1540(565777), a_t=[s=-0.95, t= 0.999998, b= 0.874563], r_t=[r=-0.02, prog=-0.03, pen= 0.01, r_old=-0.02], Reward=  11240.70 /  11240.70 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:1560(565797), a_t=[s=-0.95, t= 0.999998, b= 0.896933], r_t=[r= 0.22, prog= 0.30, pen=-0.08, r_old= 0.22], Reward=  11241.74 /  11241.74 /  813663.41, epsilon=  0.100, speed=  0.10, gear= 1, damage= 0.00
Ep:1200 step:1580(565817), a_t=[s=-0.95, t= 0.999998, b= 0.874137], r_t=[r= 0.03, prog= 0.03, pen=-0.01, r_old= 0.03], Reward=  11243.22 /  11243.22 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:1600(565837), a_t=[s=-0.95, t= 0.999998, b= 0.893505], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward=  11243.93 /  11243.93 /  813663.41, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1200 step:1620(565857), a_t=[s=-0.95, t= 0.999998, b= 0.877029], r_t=[r= 0.36, prog= 0.50, pen=-0.14, r_old= 0.36], Reward=  11244.86 /  11244.86 /  813663.41, epsilon=  0.100, speed=  0.17, gear= 1, damage= 0.00
Ep:1200 step:1640(565877), a_t=[s=-0.95, t= 0.999998, b= 0.857955], r_t=[r=-0.33, prog=-0.45, pen= 0.12, r_old=-0.33], Reward=  11245.88 /  11245.88 /  813663.41, epsilon=  0.100, speed= -0.15, gear= 1, damage= 0.00
Ep:1200 step:1660(565897), a_t=[s=-0.95, t= 0.999998, b= 0.862087], r_t=[r=-0.08, prog=-0.11, pen= 0.03, r_old=-0.08], Reward=  11247.48 /  11247.48 /  813663.41, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1200 step:1680(565917), a_t=[s=-0.94, t= 0.999998, b= 0.839695], r_t=[r= 0.05, prog= 0.07, pen=-0.02, r_old= 0.05], Reward=  11248.75 /  11248.75 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:1700(565937), a_t=[s=-0.94, t= 0.999997, b= 0.824857], r_t=[r= 0.10, prog= 0.13, pen=-0.04, r_old= 0.10], Reward=  11250.26 /  11250.26 /  813663.41, epsilon=  0.100, speed=  0.04, gear= 1, damage= 0.00
Ep:1200 step:1720(565957), a_t=[s=-0.94, t= 0.999996, b= 0.785243], r_t=[r= 0.13, prog= 0.18, pen=-0.05, r_old= 0.13], Reward=  11251.94 /  11251.94 /  813663.41, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
Ep:1200 step:1740(565977), a_t=[s=-0.93, t= 0.999996, b= 0.717341], r_t=[r= 0.09, prog= 0.13, pen=-0.04, r_old= 0.09], Reward=  11253.98 /  11253.98 /  813663.41, epsilon=  0.100, speed=  0.04, gear= 1, damage= 0.00
Ep:1200 step:1760(565997), a_t=[s=-0.92, t= 0.999996, b= 0.634016], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward=  11254.23 /  11254.23 /  813663.41, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1200 step:1780(566017), a_t=[s=-0.92, t= 0.999996, b= 0.625518], r_t=[r= 0.24, prog= 0.33, pen=-0.09, r_old= 0.24], Reward=  11256.05 /  11256.05 /  813663.41, epsilon=  0.100, speed=  0.11, gear= 1, damage= 0.00
Ep:1200 step:1800(566037), a_t=[s=-0.92, t= 0.999996, b= 0.633263], r_t=[r= 0.05, prog= 0.06, pen=-0.02, r_old= 0.05], Reward=  11258.83 /  11258.83 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:1820(566057), a_t=[s=-0.93, t= 0.999996, b= 0.677371], r_t=[r= 0.35, prog= 0.49, pen=-0.14, r_old= 0.35], Reward=  11260.67 /  11260.67 /  813663.41, epsilon=  0.100, speed=  0.16, gear= 1, damage= 0.00
Ep:1200 step:1840(566077), a_t=[s=-0.92, t= 0.999996, b= 0.653440], r_t=[r= 0.08, prog= 0.11, pen=-0.03, r_old= 0.08], Reward=  11262.53 /  11262.53 /  813663.41, epsilon=  0.100, speed=  0.04, gear= 1, damage= 0.00
Ep:1200 step:1860(566097), a_t=[s=-0.92, t= 0.999995, b= 0.668747], r_t=[r= 0.10, prog= 0.14, pen=-0.04, r_old= 0.10], Reward=  11263.04 /  11263.04 /  813663.41, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1200 step:1880(566117), a_t=[s=-0.92, t= 0.999996, b= 0.641388], r_t=[r= 0.02, prog= 0.02, pen=-0.01, r_old= 0.02], Reward=  11265.10 /  11265.10 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:1900(566137), a_t=[s=-0.92, t= 0.999996, b= 0.598959], r_t=[r= 0.35, prog= 0.49, pen=-0.14, r_old= 0.35], Reward=  11266.66 /  11266.66 /  813663.41, epsilon=  0.100, speed=  0.16, gear= 1, damage= 0.00
Ep:1200 step:1920(566157), a_t=[s=-0.94, t= 0.999996, b= 0.747960], r_t=[r=-0.10, prog=-0.14, pen= 0.04, r_old=-0.10], Reward=  11267.88 /  11267.88 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:1940(566177), a_t=[s=-0.94, t= 0.999996, b= 0.763282], r_t=[r=-0.05, prog=-0.07, pen= 0.02, r_old=-0.05], Reward=  11269.54 /  11269.54 /  813663.41, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1200 step:1960(566197), a_t=[s=-0.92, t= 0.999995, b= 0.648598], r_t=[r= 0.18, prog= 0.25, pen=-0.07, r_old= 0.18], Reward=  11271.31 /  11271.31 /  813663.41, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1200 step:1980(566217), a_t=[s=-0.92, t= 0.999995, b= 0.676966], r_t=[r=-0.22, prog=-0.30, pen= 0.08, r_old=-0.22], Reward=  11272.57 /  11272.57 /  813663.41, epsilon=  0.100, speed= -0.10, gear= 1, damage= 0.00
=============================================================
 starting episode: 1201/2000
Waiting for server on 3110............
Count Down : 5
Client connected on 3110..............
Ep:1201 step:0(566237), a_t=[s= 0.20, t= 0.949714, b= 0.000000], r_t=[r= 0.18, prog= 0.19, pen=-0.00, r_old= 0.18], Reward=  0.18 /  0.18 /  813663.41, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
